,tool,task,fold,JobID,JobName,MaxRSS,Elapsed,MaxDiskRead,MaxDiskWrite,MaxVMSize,MinCPU,TotalCPU,SMACModelsSUCCESS,SMACModelsALL
0,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100,cnae-9,0,5426677,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100_master_thesis_3600s1c8G_cnae-9_0,4018640K,01:00:22,1256.57M,1593.59M,8277944K,00:10:07,01:00:18,80,97
1,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100,cnae-9,1,5426678,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100_master_thesis_3600s1c8G_cnae-9_1,3465948K,01:01:16,1453.73M,1979.80M,7859440K,00:08:32,44:17.084,69,84
2,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100,cnae-9,2,5426679,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100_master_thesis_3600s1c8G_cnae-9_2,3346704K,01:00:56,766.89M,599.24M,7585760K,00:04:36,14:02.734,16,24
3,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100,cnae-9,3,5426680,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100_master_thesis_3600s1c8G_cnae-9_3,1074900K,01:00:35,1159.31M,983.95M,5057864K,00:04:15,07:25.289,9,14
4,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100,cnae-9,4,5426681,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100_master_thesis_3600s1c8G_cnae-9_4,3336456K,01:00:50,550.06M,1006.73M,7461640K,00:04:00,15:52.993,23,30
5,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100,higgs,0,5426682,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100_master_thesis_3600s1c8G_higgs_0,3609544K,01:00:52,500.26M,98.24M,7653808K,00:06:52,21:03.026,1,6
6,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100,higgs,1,5426683,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100_master_thesis_3600s1c8G_higgs_1,4207668K,01:01:16,892.90M,117.88M,8273468K,00:10:55,59:50.890,3,17
7,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100,higgs,2,5426684,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100_master_thesis_3600s1c8G_higgs_2,3604308K,01:00:52,633.96M,101.77M,7648416K,00:08:17,44:43.533,2,10
8,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100,higgs,3,5426685,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100_master_thesis_3600s1c8G_higgs_3,3612508K,01:00:57,703.76M,109.10M,7655192K,00:09:59,54:26.726,3,12
9,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100,higgs,4,5426686,autosklearnBBCEnsembleSelectionPreSelectInESLatest_B_10_Nb_100_master_thesis_3600s1c8G_higgs_4,3611248K,01:00:53,567.12M,99.00M,7653560K,00:08:15,39:24.411,1,8
