,tool,task,model,fold,train,val,test,overfit
0,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,best_individual_model,0,0.9989724806079324,0.9508230452674896,0.9629629629629628,0.0
1,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,best_ensemble_model,0,0.9537037037037036,inf,0.9629629629629628,0.0
2,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,best_individual_model,1,0.9989724806079324,0.9592592592592591,0.8888888888888888,0.03703703703703698
3,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,best_ensemble_model,1,0.9681069958847738,inf,0.9166666666666666,0.0
4,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,best_individual_model,2,0.9989724806079324,0.955925925925926,0.9629629629629628,0.0
5,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,best_ensemble_model,2,0.9351851851851852,inf,0.9351851851851852,0.0
6,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,best_individual_model,3,0.9971726687564864,0.9569135802469136,0.9259259259259258,0.02777777777777779
7,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,best_ensemble_model,3,0.969135802469136,inf,0.9351851851851852,0.01851851851851838
8,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,best_individual_model,4,0.9974311957904884,0.9539094650205762,0.9629629629629628,0.009259259259259411
9,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,best_ensemble_model,4,0.9598765432098766,inf,0.9629629629629628,0.009259259259259411
10,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,higgs,best_individual_model,0,0.8576682785714728,0.728871822742475,0.7336674237925537,0.0
11,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,higgs,best_ensemble_model,0,0.7297070794029371,inf,0.7337226074083127,0.0
12,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,higgs,best_individual_model,1,0.7534305357002977,0.7232379282437184,0.7206815961305684,0.0
