,tool,task,fold,JobID,JobName,MaxRSS,Elapsed,MaxDiskRead,MaxDiskWrite,MaxVMSize,MinCPU,TotalCPU,SMACModelsSUCCESS,SMACModelsALL
0,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,0,5379092,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_0,985012K,01:00:59,660.88M,479.05M,4955212K,00:03:50,05:52.527,7,12
1,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,1,5379093,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_1,3486472K,01:01:46,1786.11M,1829.25M,7684008K,00:04:58,19:35.657,27,34
2,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,2,5379094,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_2,2411356K,01:01:08,737.90M,590.74M,6465144K,00:04:03,05:27.577,6,10
3,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,3,5379095,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_3,3580720K,01:01:45,2337.44M,2633.68M,7696116K,00:10:12,01:00:31,97,108
4,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,cnae-9,4,5379096,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_4,3383940K,01:01:44,2075.12M,2627.23M,7503344K,00:07:50,42:08.065,61,70
5,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,higgs,0,5379097,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_0,4190608K,01:01:09,924.39M,128.84M,8183300K,00:09:36,01:05:00,3,17
6,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,higgs,1,5379098,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_1,4196176K,01:00:33,846.27M,81.02M,8185652K,00:09:14,52:08.659,2,17
7,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,higgs,2,5379099,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_2,2126368K,01:00:25,360.52M,53.83M,6169740K,00:05:59,09:14.358,0,0
8,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,higgs,3,5379100,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_3,4192016K,01:01:13,919.46M,123.16M,8257652K,00:08:43,01:04:03,3,17
9,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,higgs,4,5379101,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_4,4199716K,01:01:12,920.52M,123.13M,8333528K,00:09:37,59:17.387,3,16
10,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,kr-vs-kp,0,5379102,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_0,3113792K,01:00:49,523.95M,754.82M,7294100K,00:07:11,17:07.401,15,22
11,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,kr-vs-kp,1,5379103,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_1,729904K,01:01:01,496.76M,585.44M,4826096K,00:03:05,04:55.582,6,12
12,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,kr-vs-kp,2,5379104,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_2,3080664K,01:01:01,502.61M,591.09M,7189104K,00:06:27,11:04.912,7,12
13,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,kr-vs-kp,3,5379105,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_3,3251452K,01:01:33,920.59M,1121.09M,7347548K,00:06:55,24:24.070,22,30
14,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,kr-vs-kp,4,5379106,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_4,3089392K,01:01:14,503.78M,591.32M,7267384K,00:06:01,12:21.389,8,12
15,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,vehicle,0,5379107,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_0,935428K,01:01:13,372.86M,405.06M,5013592K,00:03:18,06:12.823,17,22
16,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,vehicle,1,5379108,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_1,3589964K,01:01:02,388.78M,869.34M,8069028K,00:04:34,14:55.588,52,58
17,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,vehicle,2,5379109,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_2,809364K,01:00:51,392.52M,460.83M,4900024K,00:03:52,07:07.488,16,20
18,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,vehicle,3,5379110,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_3,3391664K,01:01:39,801.04M,1172.57M,7725524K,00:05:09,16:22.146,61,68
19,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,vehicle,4,5379111,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_4,806728K,01:01:16,413.55M,401.79M,4898256K,00:03:17,06:17.564,14,16
20,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,MiniBooNE,0,5379112,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_0,3888792K,01:00:50,1532.18M,136.25M,7979176K,00:08:25,41:27.183,2,14
21,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,MiniBooNE,1,5379113,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_1,4012536K,01:00:50,1846.76M,137.68M,8215820K,00:09:10,01:04:52,2,18
22,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,MiniBooNE,2,5379114,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_2,3866500K,01:00:25,1038.92M,116.77M,8054580K,00:07:04,23:05.171,0,0
23,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,MiniBooNE,3,5379115,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_3,1402612K,01:00:17,729.17M,114.77M,5437244K,00:06:10,09:37.825,0,0
24,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,MiniBooNE,4,5379116,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_4,3865404K,01:00:28,1786.76M,134.66M,8058224K,00:09:21,01:04:38,2,18
25,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,connect-4,0,5379117,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_connect-4_0,3701864K,01:01:04,463.21M,62.37M,7966404K,00:04:49,11:07.127,1,8
26,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,connect-4,1,5379118,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_connect-4_1,3719660K,01:00:16,385.32M,60.78M,8018240K,00:04:53,10:20.481,1,6
27,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,connect-4,2,5379119,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_connect-4_2,3656144K,01:01:02,538.77M,71.52M,7994996K,00:04:52,11:42.800,1,10
28,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,connect-4,3,5379120,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_connect-4_3,3812760K,01:01:18,678.20M,90.49M,7899616K,00:07:24,25:32.804,2,14
29,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,connect-4,4,5379121,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_connect-4_4,3794692K,01:01:14,1142.92M,183.91M,8116752K,00:09:11,01:00:09,5,26
30,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,segment,0,5379122,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_segment_0,1456460K,01:00:21,121.19M,559.58M,5605692K,00:03:39,10:54.465,18,20
31,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,segment,1,5379123,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_segment_1,1457112K,01:00:11,106.25M,239.21M,5682120K,00:03:22,07:26.567,8,10
32,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,segment,2,5379124,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_segment_2,814032K,01:00:07,100.63M,108.26M,4904544K,00:03:23,05:16.092,4,6
33,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,segment,3,5379125,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_segment_3,1456508K,01:00:12,106.44M,240.23M,5679960K,00:03:27,07:23.841,8,10
34,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,segment,4,5379126,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_segment_4,3278000K,01:00:34,972.66M,1006.26M,7572420K,00:04:23,16:48.249,30,36
35,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,Australian,0,5379127,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_Australian_0,1988696K,01:00:12,111.83M,294.25M,6405780K,00:03:52,12:18.610,32,35
36,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,Australian,1,5379128,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_Australian_1,771376K,01:00:15,97.76M,143.93M,4815684K,00:03:50,07:44.951,8,12
37,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,Australian,2,5379129,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_Australian_2,725744K,01:00:16,102.01M,165.75M,4799020K,00:03:46,08:41.273,15,18
38,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,Australian,3,5379130,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_Australian_3,2593400K,01:01:03,483.36M,480.44M,7113048K,00:03:49,11:21.838,25,28
39,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,Australian,4,5379131,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_Australian_4,1200804K,01:00:50,97.83M,154.42M,5376224K,00:03:39,08:30.809,9,12
40,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,adult,0,5379132,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_adult_0,2734500K,01:01:01,190.90M,29.15M,6763332K,00:03:33,12:13.190,3,6
41,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,adult,1,5379133,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_adult_1,3226284K,01:01:29,449.85M,199.41M,7417656K,00:10:09,01:05:40,11,23
42,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,adult,2,5379134,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_adult_2,3501148K,01:01:31,357.36M,64.66M,7763424K,00:11:20,01:00:31,6,19
43,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,adult,3,5379135,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_adult_3,3273792K,01:01:27,359.80M,68.97M,7421344K,00:10:24,59:33.728,6,19
44,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,adult,4,5379136,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_adult_4,3499312K,01:01:31,447.23M,177.80M,7539640K,00:09:27,59:02.469,9,20
45,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,Albert,0,5379137,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_Albert_0,5567656K,01:01:27,8662.72M,580.79M,9790732K,00:09:54,45:51.206,0,0
46,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,Albert,1,5379138,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_Albert_1,5580352K,01:01:24,8919.36M,580.79M,9644392K,00:10:21,01:04:15,0,0
47,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,Albert,2,5379139,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_Albert_2,5646712K,01:01:23,8919.38M,580.79M,9705544K,00:10:32,58:30.505,0,0
48,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,Albert,3,5379140,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_Albert_3,5546796K,01:01:24,8919.09M,580.79M,9599856K,00:10:15,01:04:15,0,0
49,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50,Albert,4,5379141,autosklearnBBCSMBOAndEnsembleSelectionBISMACLatest_B_50_Nb_50_master_thesis_3600s1c8G_Albert_4,5547840K,01:01:28,8919.26M,580.79M,9612916K,00:10:32,58:33.798,0,0
