,tool,task,model,fold,train,val,test,overfit
0,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,best_individual_model,0,0.9989724806079324,0.9195273879871956,0.9629629629629628,0.0
1,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,best_ensemble_model,0,0.9310699588477368,inf,0.9629629629629628,0.0
2,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,best_individual_model,1,0.9989724806079324,0.9603251663760852,0.8888888888888888,0.009259259259259411
3,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,best_ensemble_model,1,0.9609053497942388,inf,0.8888888888888888,0.0
4,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,best_individual_model,2,0.9989724806079324,0.956340626446594,0.9629629629629628,0.0
5,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,best_ensemble_model,2,0.955761316872428,inf,0.9722222222222222,0.0
6,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,best_individual_model,3,0.9989724806079324,0.9511104355788308,0.9537037037037036,0.0
7,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,best_ensemble_model,3,0.9598765432098766,inf,0.9537037037037036,0.0
8,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,best_individual_model,4,0.9989724806079324,0.9464597726052116,0.9444444444444444,0.01851851851851838
9,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,best_ensemble_model,4,0.9310699588477368,inf,0.9722222222222222,0.0
10,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,best_individual_model,0,0.8576682785714728,0.7289895332491131,0.7336674237925537,0.0
11,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,best_ensemble_model,0,0.7290970399890333,inf,0.7336674237925537,0.0
12,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,best_individual_model,1,0.857620052841326,0.7300907919910005,0.7257859971032359,0.0
13,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,best_ensemble_model,1,0.7301358718058659,inf,0.7256895092607041,9.648784253180054e-05
14,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,best_individual_model,2,0.8581744825379091,0.7290115460185023,0.7334555387444499,0.0
15,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,best_ensemble_model,2,0.7289388509878212,inf,0.7334555387444499,0.0
16,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,best_individual_model,3,0.8572222527164328,0.7272859251510256,0.7345365382099536,0.0
17,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,best_ensemble_model,3,0.7272956529889871,inf,0.7345365382099536,0.0
18,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,best_individual_model,4,0.8578005422639592,0.7286553348871628,0.7393750271854538,0.0
19,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,best_ensemble_model,4,0.7287002381098637,inf,0.7380038367284851,0.0013711904569686517
20,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,kr-vs-kp,best_individual_model,1,1.0,0.9962174635809034,0.9910179640718564,0.0029940119760479833
21,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,kr-vs-kp,best_ensemble_model,1,0.997150814925078,inf,0.9850299401197604,0.005988023952095967
22,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,kr-vs-kp,best_individual_model,2,0.9998258048321756,0.9942132475806684,0.9967320261437908,0.0
23,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,kr-vs-kp,best_ensemble_model,2,0.9943636529266171,inf,0.9934640522875816,0.0
24,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,kr-vs-kp,best_individual_model,3,1.0,0.9959735614960832,1.0,0.0
25,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,kr-vs-kp,best_ensemble_model,3,0.9964540244254628,inf,1.0,0.0
26,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,kr-vs-kp,best_individual_model,4,0.9996360838457496,0.9956883137510364,1.0,0.0
27,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,kr-vs-kp,best_ensemble_model,4,0.9971818264633086,inf,1.0,0.0
28,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,best_individual_model,0,1.0,0.7792114920241845,0.8002705627705629,0.0
29,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,best_ensemble_model,0,0.7780482814243149,inf,0.8002705627705629,0.0
30,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,best_individual_model,1,0.9782406663798342,0.8400320654063691,0.8376623376623377,0.022727272727272818
31,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,best_ensemble_model,1,0.8623828952087205,inf,0.8252164502164503,0.023268398268398105
32,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,best_individual_model,2,0.916745024903058,0.8275705423679725,0.8722943722943723,0.0
33,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,best_ensemble_model,2,0.8377351202711176,inf,0.7554112554112554,0.045454545454545525
34,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,best_individual_model,3,1.0,0.7603789929276508,0.7889610389610391,0.0
35,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,best_ensemble_model,3,0.759446664445505,inf,0.7889610389610391,0.0
36,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,best_individual_model,4,0.9739958007443492,0.8510706672825659,0.8841991341991342,0.0
37,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,best_ensemble_model,4,0.8700143046214046,inf,0.8609307359307359,0.0
38,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,MiniBooNE,best_individual_model,0,0.9470163798881628,0.929689552751876,0.9273003728803138,0.0
39,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,MiniBooNE,best_ensemble_model,0,0.9296974591088778,inf,0.9273003728803138,0.0
40,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,MiniBooNE,best_individual_model,1,0.9466862088024818,0.9292881787367188,0.9254477711361064,0.0
41,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,MiniBooNE,best_ensemble_model,1,0.9292344626510216,inf,0.9254477711361064,0.0
42,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,connect-4,best_individual_model,0,0.7832653339749013,0.6732299659507897,0.6797804962479553,0.0
43,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,connect-4,best_ensemble_model,0,0.7128100540806143,inf,0.7139189400832185,0.0
44,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,connect-4,best_individual_model,1,0.7892796437080007,0.6751268620742684,0.6734928652890803,0.0
45,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,connect-4,best_ensemble_model,1,0.7126492731444477,inf,0.7081834688872544,0.0
46,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,connect-4,best_individual_model,2,0.7926204346763268,0.6757891876297859,0.6820732300174209,0.0
47,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,connect-4,best_ensemble_model,2,0.7119535142660293,inf,0.7259252917346163,0.0
48,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,connect-4,best_individual_model,3,0.8024287062352813,0.6789982312637579,0.6940980788685147,0.0
49,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,connect-4,best_ensemble_model,3,0.6394610083099339,inf,0.6227755824138822,0.0
50,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,segment,best_individual_model,0,1.0,0.9856571626035416,0.9913419913419912,0.0
51,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,segment,best_ensemble_model,0,0.986050986050986,inf,0.9913419913419912,0.0
52,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,segment,best_individual_model,1,1.0,0.985624744697946,0.987012987012987,0.004329004329004182
53,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,segment,best_ensemble_model,1,0.986050986050986,inf,0.9783549783549784,0.01298701298701277
54,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,segment,best_individual_model,2,1.0,0.98202287165947,0.9956709956709956,0.0
55,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,segment,best_ensemble_model,2,0.9831649831649829,inf,0.987012987012987,0.0
56,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,Australian,best_individual_model,0,0.8634048913349479,0.864848552935453,0.849320882852292,0.06876061120543286
57,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,Australian,best_ensemble_model,0,0.8710144927536232,inf,0.8756366723259762,0.01018675721561968
58,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,Australian,best_individual_model,1,1.0,0.872136203426503,0.8798811544991512,0.016129032258064502
59,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,Australian,best_ensemble_model,1,0.8851449275362319,inf,0.8314940577249575,0.032258064516129004
60,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,Australian,best_individual_model,2,1.0,0.8736431423673165,0.8565365025466893,0.029286926994906537
61,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,Australian,best_ensemble_model,2,0.8880434782608695,inf,0.8595076400679117,0.01018675721561968
62,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,Australian,best_individual_model,3,1.0,0.8836822190516388,0.8624787775891339,0.02037351443123958
63,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,Australian,best_ensemble_model,3,0.8963768115942029,inf,0.817062818336163,0.04541595925297093
64,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,adult,best_individual_model,0,0.850536692658518,0.8433716934988789,0.8472058266981338,0.0
65,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,adult,best_ensemble_model,0,0.8459653889753622,inf,0.8448650139364513,0.002345301707825209
66,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,adult,best_individual_model,1,0.8510141611266959,0.8432664004875076,0.8379501952576471,0.0
67,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,adult,best_ensemble_model,1,0.8212732196268121,inf,0.8141191858939356,0.0
68,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,adult,best_individual_model,2,0.8507924421192776,0.8430973526561292,0.8517158308388753,0.0
69,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,adult,best_ensemble_model,2,0.8445960846373863,inf,0.8522420631994927,0.0
70,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,adult,best_individual_model,3,0.8512429737498263,0.8439024184537115,0.8406465193093178,0.0
