,tool,task,fold,JobID,JobName,MaxRSS,Elapsed,MaxDiskRead,MaxDiskWrite,MaxVMSize,MinCPU,TotalCPU,SMACModelsSUCCESS,SMACModelsALL
0,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,0,5378935,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_0,2417948K,01:01:21,510.56M,348.28M,6621420K,00:02:58,03:51.040,3,6
1,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,1,5378936,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_1,2399676K,01:02:08,1290.75M,1090.45M,6456908K,00:03:32,06:23.414,8,14
2,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,2,5378937,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_2,2389796K,01:01:48,771.49M,586.34M,6461524K,00:03:23,05:05.459,7,12
3,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,3,5378938,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_3,3473404K,01:02:20,1195.12M,1108.52M,7743580K,00:03:42,14:36.331,18,24
4,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,cnae-9,4,5378939,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_4,2415492K,01:01:44,721.69M,587.43M,6470540K,00:03:17,04:41.375,6,10
5,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,0,5378940,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_0,3608612K,01:02:03,557.27M,152.08M,7650572K,00:07:14,26:07.346,1,6
6,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,1,5378941,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_1,3608840K,01:02:05,801.36M,167.52M,7651256K,00:09:35,46:36.695,2,14
7,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,2,5378942,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_2,3607916K,01:02:05,557.27M,152.06M,7649000K,00:07:16,26:07.389,1,6
8,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,3,5378943,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_3,3608896K,01:02:03,700.54M,156.60M,7651868K,00:07:57,38:23.557,2,10
9,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,higgs,4,5378944,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_4,3703912K,01:02:17,857.03M,123.88M,7745652K,00:09:06,47:48.018,3,16
10,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,kr-vs-kp,0,5378945,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_0,686772K,01:01:00,102.25M,71.76M,4785412K,00:02:59,03:20.120,0,0
11,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,kr-vs-kp,1,5378946,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_1,2717000K,01:02:19,898.51M,902.78M,6869516K,00:06:57,21:56.625,28,36
12,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,kr-vs-kp,2,5378947,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_2,2318248K,01:01:19,178.61M,77.14M,6406140K,00:06:12,10:39.617,3,6
13,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,kr-vs-kp,3,5378948,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_3,2869016K,01:02:02,641.89M,598.73M,6992836K,00:07:29,22:19.802,14,20
14,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,kr-vs-kp,4,5378949,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_4,3139400K,01:02:18,1001.94M,1128.19M,7361796K,00:06:52,34:34.190,42,54
15,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,0,5378950,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_0,824408K,01:01:19,162.25M,139.38M,4902232K,00:03:31,05:08.464,4,6
16,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,1,5378951,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_1,4018344K,01:02:17,615.39M,1033.69M,8068156K,00:05:09,27:45.622,60,68
17,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,2,5378952,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_2,3219868K,01:01:58,478.42M,676.86M,7526024K,00:03:42,10:16.557,23,28
18,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,3,5378953,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_3,691972K,01:01:19,183.69M,91.73M,5014800K,00:03:33,04:33.929,3,6
19,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,vehicle,4,5378954,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_4,944980K,01:01:54,320.74M,284.72M,5060132K,00:03:43,07:05.121,15,18
20,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,MiniBooNE,0,5378955,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_0,3857972K,01:01:52,1745.69M,138.14M,7982912K,00:08:49,52:23.490,2,17
21,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,MiniBooNE,1,5378956,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_1,3932408K,01:01:51,1847.06M,138.14M,8293136K,00:07:44,01:00:55,2,18
22,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,MiniBooNE,2,5378957,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_2,3889468K,01:00:33,1346.27M,118.76M,8157344K,00:08:10,38:08.819,0,0
23,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,MiniBooNE,3,5378958,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_3,3859144K,01:00:24,1346.11M,118.76M,7982524K,00:08:27,39:08.762,0,0
24,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,MiniBooNE,4,5378959,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_4,1386608K,01:00:25,729.21M,114.75M,5495392K,00:06:07,10:12.145,0,0
25,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,connect-4,0,5378960,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_connect-4_0,3738672K,01:01:22,791.02M,92.54M,8022116K,00:09:57,33:27.594,2,18
26,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,connect-4,1,5378961,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_connect-4_1,3942112K,01:01:17,1112.94M,126.44M,8202460K,00:07:53,01:02:28,4,24
27,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,connect-4,2,5378962,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_connect-4_2,3788096K,01:01:21,699.07M,89.08M,8027364K,00:07:49,28:59.422,2,14
28,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50,connect-4,3,5378963,autosklearnBBCSMBOAndEnsembleSelectionLatest_B_50_Nb_50_master_thesis_3600s1c8G_connect-4_3,1800976K,01:01:07,543.76M,114.28M,5889792K,00:04:20,11:17.822,2,10
