,tool,task,fold,JobID,JobName,MaxRSS,Elapsed,MaxDiskRead,MaxDiskWrite,MaxVMSize,MinCPU,TotalCPU,SMACModelsSUCCESS,SMACModelsALL
0,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,cnae-9,0,5432355,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_cnae-9_0,2436228K,01:00:28,197.01M,226.50M,6491048K,00:03:25,04:21.616,3,6
1,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,cnae-9,1,5432356,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_cnae-9_1,2382644K,01:00:58,863.20M,773.70M,6510100K,00:03:36,10:14.792,15,22
2,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,cnae-9,2,5432357,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_cnae-9_2,2407496K,01:00:22,218.87M,234.86M,6461936K,00:03:22,04:40.895,5,8
3,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,cnae-9,3,5432358,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_cnae-9_3,3610204K,01:01:06,723.89M,945.55M,7878388K,00:04:20,15:51.811,20,26
4,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,cnae-9,4,5432359,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_cnae-9_4,3702688K,01:00:50,960.17M,1603.44M,7983140K,00:14:17,57:34.094,41,56
5,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,higgs,0,5432360,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_higgs_0,3604788K,01:00:57,893.82M,117.45M,7647736K,00:09:13,53:46.066,3,17
6,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,higgs,1,5432361,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_higgs_1,3605216K,01:00:54,704.25M,108.50M,7647224K,00:09:06,52:38.450,3,12
7,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,higgs,2,5432362,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_higgs_2,4196672K,01:00:54,893.71M,117.79M,8331972K,00:09:16,01:04:32,3,17
8,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,higgs,3,5432363,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_higgs_3,3702544K,01:00:56,847.92M,113.26M,7744880K,00:09:01,47:47.168,3,16
9,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,higgs,4,5432364,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_higgs_4,4195284K,01:00:55,894.96M,117.72M,8331756K,00:09:21,58:23.121,3,17
10,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,kr-vs-kp,0,5432365,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_kr-vs-kp_0,3332920K,01:00:37,688.96M,687.58M,7500932K,00:07:18,27:33.361,28,38
11,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,kr-vs-kp,1,5432366,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_kr-vs-kp_1,685664K,01:00:07,102.30M,70.42M,4785912K,00:03:30,03:50.195,0,0
12,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,kr-vs-kp,2,5432367,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_kr-vs-kp_2,3362064K,01:00:33,951.98M,853.31M,7719260K,00:07:13,24:10.298,23,34
13,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,kr-vs-kp,3,5432368,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_kr-vs-kp_3,3334940K,01:00:12,116.43M,296.01M,7718640K,00:06:02,12:26.310,7,12
14,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,kr-vs-kp,4,5432369,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_kr-vs-kp_4,3733432K,01:01:35,559.72M,1478.66M,8114568K,00:06:57,43:47.964,39,55
15,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,vehicle,0,5432370,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_vehicle_0,805404K,01:00:38,98.36M,116.70M,4972988K,00:03:13,05:26.781,8,10
16,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,vehicle,1,5432371,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_vehicle_1,810392K,01:00:36,141.80M,103.72M,4900380K,00:02:59,04:54.081,6,8
17,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100,vehicle,2,5432372,autosklearnBBCScoreEnsembleLatest_B_10_Nb_100_master_thesis_3600s1c8G_vehicle_2,930876K,01:00:36,189.86M,138.45M,5059380K,00:03:16,05:41.941,10,12
