,tool,task,fold,JobID,JobName,MaxRSS,Elapsed,MaxDiskRead,MaxDiskWrite,MaxVMSize,MinCPU,TotalCPU,SMACModelsSUCCESS,SMACModelsALL
0,autosklearnStackingLatest_f50,cnae-9,0,5426827,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_cnae-9_0,3494772K,01:03:33,10337.71M,6611.66M,7777548K,00:09:28,01:03:38,99,122
1,autosklearnStackingLatest_f50,cnae-9,1,5426828,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_cnae-9_1,2913968K,01:01:00,1645.81M,687.65M,6963356K,00:05:01,13:24.167,18,31
2,autosklearnStackingLatest_f50,cnae-9,2,5426829,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_cnae-9_2,3511292K,01:02:04,4528.67M,2625.34M,7633472K,00:08:30,31:30.240,37,58
3,autosklearnStackingLatest_f50,cnae-9,3,5426830,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_cnae-9_3,3659784K,01:01:57,3381.52M,1170.63M,7855420K,00:06:58,24:03.982,25,37
4,autosklearnStackingLatest_f50,cnae-9,4,5426831,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_cnae-9_4,3298444K,01:01:27,3863.39M,1705.68M,7337176K,00:06:06,23:49.752,35,52
5,autosklearnStackingLatest_f50,higgs,0,5426832,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_higgs_0,2456500K,01:00:14,570.43M,142.37M,6491944K,00:07:48,32:54.725,0,0
6,autosklearnStackingLatest_f50,higgs,1,5426833,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_higgs_1,3565624K,01:00:29,592.73M,191.87M,7646816K,00:07:47,43:21.121,0,0
7,autosklearnStackingLatest_f50,higgs,2,5426834,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_higgs_2,3682724K,01:01:36,1044.08M,212.22M,7711388K,00:09:01,01:03:39,2,15
8,autosklearnStackingLatest_f50,higgs,3,5426835,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_higgs_3,3695044K,01:01:31,1078.81M,202.28M,7868544K,00:09:20,01:04:39,3,17
9,autosklearnStackingLatest_f50,higgs,4,5426836,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_higgs_4,3693068K,01:01:29,1003.27M,194.91M,7793708K,00:09:21,57:10.970,2,16
10,autosklearnStackingLatest_f50,kr-vs-kp,0,5426837,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_kr-vs-kp_0,3484232K,01:01:05,3501.24M,1583.61M,7719628K,00:07:01,30:12.828,33,51
11,autosklearnStackingLatest_f50,kr-vs-kp,1,5426838,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_kr-vs-kp_1,2971036K,01:01:10,3619.96M,1435.16M,7136776K,00:07:13,33:39.303,33,51
12,autosklearnStackingLatest_f50,kr-vs-kp,2,5426839,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_kr-vs-kp_2,3078620K,01:01:08,3334.45M,747.74M,7189752K,00:06:42,32:36.694,33,49
13,autosklearnStackingLatest_f50,kr-vs-kp,3,5426840,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_kr-vs-kp_3,3842796K,01:00:39,1665.29M,602.93M,8043256K,00:06:55,23:08.353,17,30
14,autosklearnStackingLatest_f50,kr-vs-kp,4,5426841,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_kr-vs-kp_4,3840136K,01:01:10,3634.19M,1404.98M,8037380K,00:07:39,34:06.976,32,47
15,autosklearnStackingLatest_f50,vehicle,0,5426842,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_vehicle_0,3678756K,01:01:14,2618.49M,932.73M,8004952K,00:06:14,20:52.222,66,77
16,autosklearnStackingLatest_f50,vehicle,1,5426843,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_vehicle_1,3381576K,01:01:00,1822.32M,1078.91M,7602276K,00:08:50,33:05.721,76,94
17,autosklearnStackingLatest_f50,vehicle,2,5426844,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_vehicle_2,3927144K,01:01:09,4204.74M,1099.96M,8022280K,00:08:05,25:44.127,41,50
18,autosklearnStackingLatest_f50,vehicle,3,5426845,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_vehicle_3,3806656K,01:00:58,1156.15M,526.75M,8017532K,00:03:44,12:24.602,37,47
19,autosklearnStackingLatest_f50,vehicle,4,5426846,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_vehicle_4,3508928K,01:01:00,1663.30M,930.89M,7871816K,00:08:48,32:05.620,54,69
20,autosklearnStackingLatest_f50,MiniBooNE,0,5426847,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_MiniBooNE_0,3895380K,00:30:16,970.55M,102.19M,7976708K,00:08:26,32:23.760,0,0
21,autosklearnStackingLatest_f50,MiniBooNE,1,5426848,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_MiniBooNE_1,3838064K,00:30:18,970.58M,102.18M,8143612K,00:08:49,32:54.752,0,0
22,autosklearnStackingLatest_f50,MiniBooNE,2,5426849,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_MiniBooNE_2,3861752K,00:30:18,970.78M,102.19M,7983348K,00:08:50,32:59.630,0,0
23,autosklearnStackingLatest_f50,MiniBooNE,3,5426850,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_MiniBooNE_3,3859196K,00:30:11,919.87M,102.18M,7922296K,00:09:06,33:17.436,0,0
24,autosklearnStackingLatest_f50,MiniBooNE,4,5426851,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_MiniBooNE_4,3858292K,00:30:08,970.58M,102.19M,7940888K,00:08:44,32:43.413,0,0
25,autosklearnStackingLatest_f50,connect-4,0,5426852,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_connect-4_0,3954312K,01:02:58,2060.81M,1072.76M,8234692K,00:09:15,44:51.876,5,28
26,autosklearnStackingLatest_f50,connect-4,1,5426853,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_connect-4_1,3543980K,01:01:54,1698.57M,1032.58M,7820688K,00:07:31,28:34.753,3,18
27,autosklearnStackingLatest_f50,connect-4,2,5426854,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_connect-4_2,3899372K,01:03:11,2785.88M,1654.77M,8308368K,00:09:35,01:05:46,5,31
28,autosklearnStackingLatest_f50,connect-4,3,5426855,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_connect-4_3,3990740K,01:01:39,2762.60M,1926.99M,8238156K,00:08:10,38:45.776,2,25
29,autosklearnStackingLatest_f50,connect-4,4,5426856,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_connect-4_4,3879968K,01:03:42,2069.35M,1074.51M,8087176K,00:10:18,01:01:47,5,26
30,autosklearnStackingLatest_f50,segment,0,5426857,autosklearnStackingLatest_f50_master_thesis_3600s1c8G_segment_0,3482680K,01:02:39,5032.91M,2040.55M,8039328K,00:10:43,59:38.691,72,87
