,tool,task,model,fold,train,val,test,overfit
0,autosklearnThresholdout_scale001_ensemble0,cnae-9,best_individual_model,0,0.9984779299847794,0.9628722061660856,0.9351851851851852,0.03703703703703698
1,autosklearnThresholdout_scale001_ensemble0,cnae-9,best_ensemble_model,0,0.9718694885361552,inf,0.9814814814814814,0.0
2,autosklearnThresholdout_scale001_ensemble0,cnae-9,best_individual_model,1,0.9984779299847794,0.9436745507109666,0.8888888888888888,0.01851851851851838
3,autosklearnThresholdout_scale001_ensemble0,cnae-9,best_ensemble_model,1,0.9500881834215168,inf,0.8796296296296295,0.0092592592592593
4,autosklearnThresholdout_scale001_ensemble0,cnae-9,best_individual_model,3,1.0,0.9486989272238712,0.9351851851851852,0.00925925925925919
5,autosklearnThresholdout_scale001_ensemble0,cnae-9,best_ensemble_model,3,0.9716931216931216,inf,0.9259259259259259,0.01851851851851849
6,autosklearnThresholdout_scale001_ensemble0,cnae-9,best_individual_model,4,0.9984779299847794,0.9672451609010708,0.9537037037037036,0.0
7,autosklearnThresholdout_scale001_ensemble0,cnae-9,best_ensemble_model,4,0.9779541446208112,inf,0.9629629629629628,0.0
8,autosklearnThresholdout_scale001_ensemble0,higgs,best_individual_model,0,0.8747763725211138,0.7314201929415611,0.7290486135930521,0.0
9,autosklearnThresholdout_scale001_ensemble0,higgs,best_ensemble_model,0,0.7302044107552292,inf,0.7288556379079882,1.1667035253237756e-05
10,autosklearnThresholdout_scale001_ensemble0,higgs,best_individual_model,1,0.8724075390518291,0.7300741689245793,0.7191876103515781,0.0
11,autosklearnThresholdout_scale001_ensemble0,higgs,best_ensemble_model,1,0.7333305905099903,inf,0.7202987963209475,0.00011667035253137836
12,autosklearnThresholdout_scale001_ensemble0,higgs,best_individual_model,2,0.8744831077079724,0.7270145935966228,0.7278220304181107,0.0
13,autosklearnThresholdout_scale001_ensemble0,higgs,best_ensemble_model,2,0.7324476981068045,inf,0.7297167861629881,0.001725114130319949
14,autosklearnThresholdout_scale001_ensemble0,higgs,best_individual_model,3,0.8734947294731451,0.7316650862703926,0.7332065903300518,0.0
15,autosklearnThresholdout_scale001_ensemble0,higgs,best_ensemble_model,3,0.7284415220977294,inf,0.7324727604884089,0.0
16,autosklearnThresholdout_scale001_ensemble0,higgs,best_individual_model,4,0.8732877108044479,0.7298454777426036,0.7315370799570844,0.0
17,autosklearnThresholdout_scale001_ensemble0,higgs,best_ensemble_model,4,0.7304497103056107,inf,0.7327560527447478,0.0009853135517013945
18,autosklearnThresholdout_scale001_ensemble0,kr-vs-kp,best_individual_model,0,1.0,1.0,0.9937380141677429,0.006261985832257122
19,autosklearnThresholdout_scale001_ensemble0,kr-vs-kp,best_ensemble_model,0,0.9979838709677421,inf,0.9937380141677429,0.0029940119760478723
20,autosklearnThresholdout_scale001_ensemble0,kr-vs-kp,best_individual_model,1,1.0,1.0,0.9910179640718564,0.0
21,autosklearnThresholdout_scale001_ensemble0,kr-vs-kp,best_ensemble_model,1,0.998898678414097,inf,0.9880239520958084,0.005988023952095967
22,autosklearnThresholdout_scale001_ensemble0,kr-vs-kp,best_individual_model,2,1.0,1.0,0.9869281045751634,0.009803921568627305
23,autosklearnThresholdout_scale001_ensemble0,kr-vs-kp,best_ensemble_model,2,0.9977973568281938,inf,0.9934640522875816,0.0032679738562091387
24,autosklearnThresholdout_scale001_ensemble0,kr-vs-kp,best_individual_model,3,1.0,1.0,0.9937380141677429,0.006261985832257122
25,autosklearnThresholdout_scale001_ensemble0,kr-vs-kp,best_ensemble_model,3,0.9967892923120648,inf,0.997005988023952,0.0029940119760479833
26,autosklearnThresholdout_scale001_ensemble0,kr-vs-kp,best_individual_model,4,1.0,1.0,1.0,0.0
27,autosklearnThresholdout_scale001_ensemble0,kr-vs-kp,best_ensemble_model,4,0.9977973568281938,inf,1.0,0.0
