,tool,task,fold,JobID,JobName,MaxRSS,Elapsed,MaxDiskRead,MaxDiskWrite,MaxVMSize,MinCPU,TotalCPU,SMACModelsSUCCESS,SMACModelsALL
0,autosklearnThresholdout_scale001_ensemble1,cnae-9,0,5433840,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_cnae-9_0,1361572K,01:00:19,855.87M,256.20M,6134760K,00:04:55,09:28.994,50,66
1,autosklearnThresholdout_scale001_ensemble1,cnae-9,1,5433841,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_cnae-9_1,810236K,01:00:09,218.76M,51.56M,4884148K,00:02:58,03:11.206,5,8
2,autosklearnThresholdout_scale001_ensemble1,cnae-9,2,5433842,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_cnae-9_2,1847884K,01:00:14,218.91M,51.75M,5908520K,00:03:07,03:32.338,5,8
3,autosklearnThresholdout_scale001_ensemble1,cnae-9,3,5433843,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_cnae-9_3,3033268K,01:00:08,604.18M,202.85M,7268732K,00:03:38,07:15.383,32,41
4,autosklearnThresholdout_scale001_ensemble1,cnae-9,4,5433844,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_cnae-9_4,1858976K,01:00:11,218.93M,51.61M,6140104K,00:03:03,03:28.167,5,8
5,autosklearnThresholdout_scale001_ensemble1,higgs,0,5433845,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_higgs_0,4232532K,01:02:59,1948.25M,1252.63M,8216456K,00:08:41,01:00:46,12,26
6,autosklearnThresholdout_scale001_ensemble1,higgs,1,5433846,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_higgs_1,3597752K,01:01:09,1679.02M,1526.75M,7647564K,00:07:38,31:22.899,7,12
7,autosklearnThresholdout_scale001_ensemble1,higgs,2,5433847,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_higgs_2,3673924K,01:01:31,2536.58M,1697.20M,7698340K,00:08:35,53:22.158,12,24
8,autosklearnThresholdout_scale001_ensemble1,higgs,3,5433848,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_higgs_3,3594112K,01:02:28,821.95M,496.83M,7641320K,00:07:20,28:36.319,5,10
9,autosklearnThresholdout_scale001_ensemble1,higgs,4,5433849,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_higgs_4,4233384K,01:00:52,1467.44M,948.83M,8285552K,00:08:34,42:15.816,7,16
10,autosklearnThresholdout_scale001_ensemble1,kr-vs-kp,0,5433850,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_kr-vs-kp_0,3496668K,01:00:18,147.33M,116.19M,7785224K,00:06:29,18:04.886,25,30
11,autosklearnThresholdout_scale001_ensemble1,kr-vs-kp,1,5433851,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_kr-vs-kp_1,2233756K,01:00:19,186.33M,136.08M,6466304K,00:05:59,15:47.076,37,52
12,autosklearnThresholdout_scale001_ensemble1,kr-vs-kp,2,5433853,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_kr-vs-kp_2,3752180K,01:00:08,198.26M,137.32M,7958716K,00:08:17,30:05.495,41,58
13,autosklearnThresholdout_scale001_ensemble1,kr-vs-kp,3,5433854,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_kr-vs-kp_3,2815080K,01:00:16,286.57M,290.79M,7080336K,00:06:29,20:44.467,87,95
14,autosklearnThresholdout_scale001_ensemble1,kr-vs-kp,4,5433855,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_kr-vs-kp_4,2763332K,01:00:11,126.44M,78.38M,7093272K,00:06:38,16:16.424,13,18
15,autosklearnThresholdout_scale001_ensemble1,vehicle,0,5433856,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_vehicle_0,698812K,01:00:08,101.01M,38.68M,4796444K,00:03:04,03:40.037,14,16
16,autosklearnThresholdout_scale001_ensemble1,vehicle,1,5433857,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_vehicle_1,1569236K,01:00:13,145.80M,157.42M,5690744K,00:05:05,08:19.435,72,80
17,autosklearnThresholdout_scale001_ensemble1,vehicle,2,5433858,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_vehicle_2,767800K,01:00:15,116.28M,109.64M,4892224K,00:03:23,05:19.908,36,38
18,autosklearnThresholdout_scale001_ensemble1,vehicle,3,5433859,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_vehicle_3,1716712K,01:00:17,183.63M,2443.28M,5916644K,00:08:35,25:32.063,123,131
19,autosklearnThresholdout_scale001_ensemble1,vehicle,4,5433860,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_vehicle_4,689204K,01:00:07,95.49M,14.39M,4790600K,00:03:02,03:18.805,3,6
20,autosklearnThresholdout_scale001_ensemble1,MiniBooNE,0,5433862,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_MiniBooNE_0,3897004K,01:00:19,1037.42M,104.66M,7986108K,00:06:45,22:12.307,0,0
21,autosklearnThresholdout_scale001_ensemble1,MiniBooNE,1,5433863,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_MiniBooNE_1,4011828K,01:00:13,1293.08M,116.13M,8238272K,00:09:03,32:41.820,1,12
22,autosklearnThresholdout_scale001_ensemble1,MiniBooNE,2,5433864,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_MiniBooNE_2,3914952K,01:00:19,1343.87M,116.13M,8027660K,00:08:43,33:03.324,1,12
23,autosklearnThresholdout_scale001_ensemble1,MiniBooNE,3,5433865,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_MiniBooNE_3,3906340K,01:00:11,1549.40M,107.96M,7981240K,00:09:11,39:52.678,1,16
24,autosklearnThresholdout_scale001_ensemble1,MiniBooNE,4,5433866,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_MiniBooNE_4,1416956K,01:00:12,883.40M,104.25M,5461244K,00:06:25,15:17.712,0,0
25,autosklearnThresholdout_scale001_ensemble1,connect-4,0,5433868,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_connect-4_0,1891952K,01:00:13,309.55M,46.52M,6153248K,00:03:03,03:57.925,0,0
26,autosklearnThresholdout_scale001_ensemble1,connect-4,1,5433869,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_connect-4_1,1895988K,01:00:10,378.32M,49.08M,6155808K,00:02:51,04:30.496,1,6
27,autosklearnThresholdout_scale001_ensemble1,connect-4,2,5433870,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_connect-4_2,2168.50M,01:00:20,447.56M,49.71M,6317616K,00:03:01,05:09.456,1,8
28,autosklearnThresholdout_scale001_ensemble1,connect-4,3,5433871,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_connect-4_3,3766500K,01:00:19,583.28M,52.61M,7859680K,00:07:13,16:57.891,1,12
29,autosklearnThresholdout_scale001_ensemble1,connect-4,4,5433872,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_connect-4_4,3642372K,01:00:56,1616.63M,418.69M,7815964K,00:08:25,55:51.058,10,34
30,autosklearnThresholdout_scale001_ensemble1,segment,0,5433873,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_segment_0,764876K,01:00:18,105.37M,47.67M,4891212K,00:02:54,03:43.329,10,12
31,autosklearnThresholdout_scale001_ensemble1,segment,1,5433875,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_segment_1,3547272K,01:00:09,321.89M,390.93M,7923244K,00:09:05,25:47.843,104,116
32,autosklearnThresholdout_scale001_ensemble1,segment,2,5433876,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_segment_2,1305392K,01:00:12,100.77M,19.99M,5398364K,00:03:13,03:33.768,4,8
33,autosklearnThresholdout_scale001_ensemble1,segment,3,5433877,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_segment_3,3559172K,01:00:11,161.67M,197.28M,7996960K,00:04:10,10:29.422,50,55
34,autosklearnThresholdout_scale001_ensemble1,segment,4,5433878,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_segment_4,3446608K,01:00:18,263.35M,373.15M,7865820K,00:06:34,18:40.598,103,110
35,autosklearnThresholdout_scale001_ensemble1,Australian,0,5433879,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_Australian_0,1542852K,01:00:09,122.01M,71.09M,5873040K,00:04:53,07:32.580,59,64
36,autosklearnThresholdout_scale001_ensemble1,Australian,1,5433880,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_Australian_1,1649568K,01:00:12,113.81M,68.35M,6025532K,00:03:40,05:42.227,41,45
37,autosklearnThresholdout_scale001_ensemble1,Australian,2,5433881,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_Australian_2,938328K,01:00:15,102.82M,39.31M,5177312K,00:02:44,04:09.367,22,24
38,autosklearnThresholdout_scale001_ensemble1,Australian,3,5433882,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_Australian_3,1532116K,01:00:10,96.78M,29.24M,5891708K,00:02:44,03:44.658,10,12
39,autosklearnThresholdout_scale001_ensemble1,Australian,4,5433883,autosklearnThresholdout_scale001_ensemble1_master_thesis_3600s1c8G_Australian_4,947620K,01:00:17,98.98M,31.52M,5101484K,00:02:56,04:01.630,14,16
