,tool,task,fold,JobID,JobName,MaxRSS,Elapsed,MaxDiskRead,MaxDiskWrite,MaxVMSize,MinCPU,TotalCPU,SMACModelsSUCCESS,SMACModelsALL
0,autosklearn,cnae-9,0,5372991,autosklearn_master_thesis_3600s1c8G_cnae-9_0,3090572K,01:00:52,1823.94M,443.12M,7512592K,00:11:08,45:17.748,128,144
1,autosklearn,cnae-9,1,5372994,autosklearn_master_thesis_3600s1c8G_cnae-9_1,799032K,01:00:37,283.34M,113.46M,4874316K,00:03:54,04:30.991,8,12
2,autosklearn,cnae-9,2,5372997,autosklearn_master_thesis_3600s1c8G_cnae-9_2,796096K,01:00:32,229.02M,49.61M,4872680K,00:03:52,04:11.513,3,6
3,autosklearn,cnae-9,3,5373000,autosklearn_master_thesis_3600s1c8G_cnae-9_3,1505008K,01:00:44,609.76M,213.52M,5637412K,00:04:53,07:59.008,32,42
4,autosklearn,cnae-9,4,5373006,autosklearn_master_thesis_3600s1c8G_cnae-9_4,3821696K,01:00:37,566.28M,186.25M,8202900K,00:04:18,07:05.670,23,35
5,autosklearn,higgs,0,5373010,autosklearn_master_thesis_3600s1c8G_higgs_0,3582344K,01:00:58,1424.74M,1085.13M,7622780K,00:07:12,28:55.798,6,10
6,autosklearn,higgs,1,5373014,autosklearn_master_thesis_3600s1c8G_higgs_1,1585440K,01:00:19,382.88M,645.00M,5674348K,00:03:29,06:57.106,0,0
7,autosklearn,higgs,2,5373018,autosklearn_master_thesis_3600s1c8G_higgs_2,3595912K,01:01:19,2189.69M,1525.39M,7643972K,00:07:20,31:13.545,7,14
8,autosklearn,higgs,3,5373019,autosklearn_master_thesis_3600s1c8G_higgs_3,3583460K,01:02:42,1500.29M,1342.25M,7625424K,00:06:52,30:53.780,7,12
9,autosklearn,higgs,4,5373020,autosklearn_master_thesis_3600s1c8G_higgs_4,3697516K,01:00:55,1647.95M,855.72M,7721544K,00:09:24,42:12.819,6,18
10,autosklearn,kr-vs-kp,0,5373022,autosklearn_master_thesis_3600s1c8G_kr-vs-kp_0,2766352K,01:00:12,159.51M,119.53M,6874288K,00:06:34,19:47.704,29,38
11,autosklearn,kr-vs-kp,1,5373024,autosklearn_master_thesis_3600s1c8G_kr-vs-kp_1,2907592K,01:00:15,166.96M,125.53M,7184804K,00:06:06,14:16.152,28,42
12,autosklearn,kr-vs-kp,2,5373028,autosklearn_master_thesis_3600s1c8G_kr-vs-kp_2,2963736K,01:00:16,176.13M,133.51M,7264332K,00:06:43,21:07.765,33,48
13,autosklearn,kr-vs-kp,3,5373034,autosklearn_master_thesis_3600s1c8G_kr-vs-kp_3,2766252K,01:00:11,125.52M,74.38M,6876468K,00:06:56,17:14.221,12,18
14,autosklearn,kr-vs-kp,4,5373036,autosklearn_master_thesis_3600s1c8G_kr-vs-kp_4,2210028K,01:00:16,135.45M,94.11M,6300700K,00:07:14,17:15.195,16,24
15,autosklearn,vehicle,0,5373037,autosklearn_master_thesis_3600s1c8G_vehicle_0,739504K,01:00:16,106.17M,50.57M,4831404K,00:04:23,05:39.546,20,26
16,autosklearn,vehicle,1,5373042,autosklearn_master_thesis_3600s1c8G_vehicle_1,764384K,01:00:11,96.90M,19.71M,4892404K,00:04:03,04:28.614,6,8
17,autosklearn,vehicle,2,5373045,autosklearn_master_thesis_3600s1c8G_vehicle_2,740280K,01:00:15,99.01M,22.78M,4824828K,00:04:19,04:49.636,9,12
18,autosklearn,vehicle,3,5373048,autosklearn_master_thesis_3600s1c8G_vehicle_3,807948K,01:00:16,129.74M,113.75M,4901920K,00:05:12,08:16.255,58,70
19,autosklearn,vehicle,4,5373053,autosklearn_master_thesis_3600s1c8G_vehicle_4,3308804K,01:00:12,197.37M,281.41M,7490128K,00:07:54,15:35.031,143,155
20,autosklearn,MiniBooNE,0,5373054,autosklearn_master_thesis_3600s1c8G_MiniBooNE_0,3975292K,01:00:18,1188.08M,103.59M,8209760K,00:06:15,17:55.437,0,0
21,autosklearn,MiniBooNE,1,5373056,autosklearn_master_thesis_3600s1c8G_MiniBooNE_1,4181564K,01:00:39,1817.35M,121.83M,8398948K,00:10:02,53:56.030,3,18
22,autosklearn,MiniBooNE,2,5373058,autosklearn_master_thesis_3600s1c8G_MiniBooNE_2,1400988K,01:00:23,728.61M,102.40M,5405700K,00:06:08,10:14.501,0,0
23,autosklearn,MiniBooNE,3,5373061,autosklearn_master_thesis_3600s1c8G_MiniBooNE_3,3905716K,01:00:34,1506.20M,117.08M,8208484K,00:09:25,34:17.715,3,14
24,autosklearn,MiniBooNE,4,5373065,autosklearn_master_thesis_3600s1c8G_MiniBooNE_4,4242924K,01:00:39,1976.27M,191.91M,8427028K,00:08:39,01:02:02,5,20
25,autosklearn,connect-4,0,5373067,autosklearn_master_thesis_3600s1c8G_connect-4_0,3891072K,01:00:31,1056.04M,87.93M,8194276K,00:10:09,40:30.233,4,25
26,autosklearn,connect-4,1,5373071,autosklearn_master_thesis_3600s1c8G_connect-4_1,4002188K,01:00:43,1385.97M,117.33M,8222412K,00:09:34,37:39.950,9,34
27,autosklearn,connect-4,2,5373073,autosklearn_master_thesis_3600s1c8G_connect-4_2,3912016K,01:00:53,1589.48M,450.60M,8291940K,00:08:41,50:21.674,14,38
28,autosklearn,connect-4,3,5373074,autosklearn_master_thesis_3600s1c8G_connect-4_3,3959968K,01:00:54,1555.76M,980.01M,8340096K,00:08:19,57:03.473,13,36
29,autosklearn,connect-4,4,5373078,autosklearn_master_thesis_3600s1c8G_connect-4_4,3899548K,01:00:40,1513.96M,109.98M,8371320K,00:09:24,47:38.449,13,38
30,autosklearn,segment,0,5373081,autosklearn_master_thesis_3600s1c8G_segment_0,853600K,01:00:12,107.17M,52.06M,4955712K,00:04:00,04:55.026,11,14
31,autosklearn,segment,1,5373083,autosklearn_master_thesis_3600s1c8G_segment_1,3307360K,01:00:15,190.75M,232.94M,7732380K,00:05:37,16:53.543,65,74
32,autosklearn,segment,2,5373084,autosklearn_master_thesis_3600s1c8G_segment_2,3382680K,01:00:11,122.30M,80.49M,7746288K,00:03:17,06:04.864,23,28
33,autosklearn,segment,3,5373087,autosklearn_master_thesis_3600s1c8G_segment_3,3419976K,01:00:16,216.23M,220.51M,7746284K,00:06:01,14:45.346,82,94
34,autosklearn,segment,4,5373090,autosklearn_master_thesis_3600s1c8G_segment_4,3422268K,01:00:13,197.34M,280.80M,7767180K,00:05:19,13:05.406,72,80
35,autosklearn,Australian,0,5373091,autosklearn_master_thesis_3600s1c8G_Australian_0,931240K,01:00:14,96.61M,26.34M,5099392K,00:02:57,03:49.568,9,12
36,autosklearn,Australian,1,5373095,autosklearn_master_thesis_3600s1c8G_Australian_1,1357968K,01:00:10,99.04M,29.49M,5672780K,00:03:10,04:20.034,14,16
37,autosklearn,Australian,2,5373096,autosklearn_master_thesis_3600s1c8G_Australian_2,802776K,01:00:13,98.36M,28.45M,4962876K,00:03:05,04:07.370,12,14
38,autosklearn,Australian,3,5373101,autosklearn_master_thesis_3600s1c8G_Australian_3,830128K,01:00:15,95.21M,12.15M,4957420K,00:03:13,03:37.601,6,8
39,autosklearn,Australian,4,5373103,autosklearn_master_thesis_3600s1c8G_Australian_4,1174684K,01:00:13,119.76M,75.81M,5384236K,00:04:37,07:03.975,54,65
40,autosklearn,adult,0,5373105,autosklearn_master_thesis_3600s1c8G_adult_0,2108240K,01:00:21,213.63M,360.43M,6381436K,00:03:24,06:05.259,6,10
41,autosklearn,adult,1,5373107,autosklearn_master_thesis_3600s1c8G_adult_1,2107964K,01:00:18,195.12M,356.56M,6161656K,00:06:17,11:21.486,4,8
