,tool,task,model,fold,train,val,test,overfit,seed
0,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,cnae-9,best_individual_model,0,0.0,0.0,0.0,0.0,121
1,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,cnae-9,best_ensemble_model,0,-0.12423993474906947,inf,-0.12548593133720665,0.0,121
2,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,cnae-9,best_individual_model,1,0.0,0.0,0.0,0.0,121
3,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,cnae-9,best_ensemble_model,1,-0.13663453673251594,inf,-0.26661919752788404,0.0,121
4,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,cnae-9,best_individual_model,2,0.0,0.0,0.0,0.0,121
5,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,cnae-9,best_ensemble_model,2,-0.15810169520237016,inf,-0.13391987999298036,0.0,121
6,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,cnae-9,best_individual_model,3,0.0,0.0,0.0,0.0,121
7,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,cnae-9,best_ensemble_model,3,-0.16701814186198438,inf,-0.16735608213026096,0.0,121
8,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,cnae-9,best_individual_model,4,0.0,0.0,0.0,0.0,121
9,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,cnae-9,best_ensemble_model,4,-0.17962800315468827,inf,-0.14122079311604266,0.0,121
10,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,higgs,best_individual_model,0,0.0,0.0,0.0,0.0,121
11,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,higgs,best_ensemble_model,0,0.8082180457753738,inf,0.8163688796799318,0.0,121
12,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,higgs,best_individual_model,1,0.0,0.0,0.0,0.0,121
13,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,higgs,best_ensemble_model,1,0.8089828411920644,inf,0.8067480211748133,0.0,121
14,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,higgs,best_individual_model,2,0.0,0.0,0.0,0.0,121
15,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,higgs,best_ensemble_model,2,0.807523018585552,inf,0.8134080407620748,0.0,121
16,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,higgs,best_individual_model,3,0.0,0.0,0.0,0.0,121
17,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,higgs,best_ensemble_model,3,0.8080603281350259,inf,0.8170474272103998,0.0,121
18,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,higgs,best_individual_model,4,0.0,0.0,0.0,0.0,121
19,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,higgs,best_ensemble_model,4,0.8076234314561972,inf,0.8187660488100057,0.0,121
20,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,kr-vs-kp,best_individual_model,0,0.0,0.0,0.0,0.0,121
21,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,0,0.9999098727170178,inf,1.0,0.0,121
22,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,kr-vs-kp,best_individual_model,1,0.0,0.0,0.0,0.0,121
23,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,1,0.9998614171885328,inf,0.9999217251770968,0.0,121
24,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,kr-vs-kp,best_individual_model,2,0.0,0.0,0.0,0.0,121
25,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,2,0.999834766647866,inf,0.9997651755312904,0.0,121
26,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,kr-vs-kp,best_individual_model,3,0.0,0.0,0.0,0.0,121
27,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,3,0.999859963522678,inf,1.0,0.0,121
28,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,kr-vs-kp,best_individual_model,4,0.0,0.0,0.0,0.0,121
29,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,4,0.9998105388836234,inf,1.0,0.0,121
30,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,vehicle,best_individual_model,0,0.0,0.0,0.0,0.0,121
31,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,vehicle,best_ensemble_model,0,-0.33665587470233865,inf,-0.3076076151440285,0.0,121
32,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,vehicle,best_individual_model,1,0.0,0.0,0.0,0.0,121
33,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,vehicle,best_ensemble_model,1,-0.32977270262127506,inf,-0.3724455563169818,0.0,121
34,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,vehicle,best_individual_model,2,0.0,0.0,0.0,0.0,121
35,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,vehicle,best_ensemble_model,2,-0.3357002488434775,inf,-0.37838372180436136,0.0,121
36,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,vehicle,best_individual_model,3,0.0,0.0,0.0,0.0,121
37,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,vehicle,best_ensemble_model,3,-0.30868793751135604,inf,-0.3268107867587965,0.0,121
38,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,vehicle,best_individual_model,4,0.0,0.0,0.0,0.0,121
39,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,vehicle,best_ensemble_model,4,-0.33919325560515035,inf,-0.33790435033388205,0.0,121
40,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,MiniBooNE,best_individual_model,0,0.0,0.0,0.0,0.0,121
41,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,MiniBooNE,best_ensemble_model,0,0.9851739658460112,inf,0.9837770418747376,0.0,121
42,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,MiniBooNE,best_individual_model,1,0.0,0.0,0.0,0.0,121
43,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,MiniBooNE,best_ensemble_model,1,0.9851065493664558,inf,0.984907468000662,0.0,121
44,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,MiniBooNE,best_individual_model,2,0.0,0.0,0.0,0.0,121
45,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,MiniBooNE,best_ensemble_model,2,0.9849677807908592,inf,0.9847407186181028,0.0,121
46,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,MiniBooNE,best_individual_model,3,0.0,0.0,0.0,0.0,121
47,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,MiniBooNE,best_ensemble_model,3,0.9850089982078593,inf,0.9855627974661121,0.0,121
48,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,MiniBooNE,best_individual_model,4,0.0,0.0,0.0,0.0,121
49,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,MiniBooNE,best_ensemble_model,4,0.984922552613793,inf,0.9859097403435534,0.0,121
50,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,connect-4,best_individual_model,0,0.0,0.0,0.0,0.0,121
51,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,connect-4,best_ensemble_model,0,-0.4657647463666177,inf,-0.4629061947060163,0.0,121
52,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,connect-4,best_individual_model,1,0.0,0.0,0.0,0.0,121
53,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,connect-4,best_ensemble_model,1,-0.4669000369163879,inf,-0.4630823809570318,0.0,121
54,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,connect-4,best_individual_model,2,0.0,0.0,0.0,0.0,121
55,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,connect-4,best_ensemble_model,2,-0.4684808073039797,inf,-0.4561315523060741,0.0,121
56,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,connect-4,best_individual_model,3,0.0,0.0,0.0,0.0,121
57,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,connect-4,best_ensemble_model,3,-0.467022163090628,inf,-0.4687027005582962,0.0,121
58,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,connect-4,best_individual_model,4,0.0,0.0,0.0,0.0,121
59,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,connect-4,best_ensemble_model,4,-0.4677674294394186,inf,-0.4602144913522765,0.0,121
60,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,segment,best_individual_model,0,0.0,0.0,0.0,0.0,121
61,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,segment,best_ensemble_model,0,-0.041957836306072006,inf,-0.058197547700234775,0.0,121
62,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,segment,best_individual_model,1,0.0,0.0,0.0,0.0,121
63,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,segment,best_ensemble_model,1,-0.04602021660230653,inf,-0.047921550229192006,0.0,121
