,tool,task,model,fold,train,val,test,overfit,seed
0,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,cnae-9,best_individual_model,0,0.0,0.0,0.0,0.0,171
1,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,0,-0.19365202007768895,inf,-0.16631968444950887,0.0,171
2,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,cnae-9,best_individual_model,1,0.0,0.0,0.0,0.0,171
3,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,1,-0.19262870484488515,inf,-0.3027331736048922,0.0,171
4,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,cnae-9,best_individual_model,2,0.0,0.0,0.0,0.0,171
5,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,2,-0.21915277530467192,inf,-0.17929093076142327,0.0,171
6,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,cnae-9,best_individual_model,3,0.0,0.0,0.0,0.0,171
7,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,3,-0.21483715345759366,inf,-0.2265364534016353,0.0,171
8,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,cnae-9,best_individual_model,4,0.0,0.0,0.0,0.0,171
9,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,4,-0.2424430341573929,inf,-0.2491217409603629,0.0,171
10,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,higgs,best_individual_model,0,0.0,0.0,0.0,0.0,171
11,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,higgs,best_ensemble_model,0,0.8050171817409733,inf,0.8156999974871002,0.0,171
12,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,higgs,best_individual_model,1,0.0,0.0,0.0,0.0,171
13,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,higgs,best_ensemble_model,1,0.805412169558119,inf,0.8050626667979051,0.0,171
14,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,higgs,best_individual_model,2,0.0,0.0,0.0,0.0,171
15,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,higgs,best_ensemble_model,2,0.8040441087345499,inf,0.8130430441386275,0.0,171
16,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,higgs,best_individual_model,3,0.0,0.0,0.0,0.0,171
17,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,higgs,best_ensemble_model,3,0.8038658818245072,inf,0.8147246519489665,0.0,171
18,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,higgs,best_individual_model,4,0.0,0.0,0.0,0.0,171
19,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,higgs,best_ensemble_model,4,0.8040819161458969,inf,0.8168103867510141,0.0,171
20,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,0,0.0,0.0,0.0,0.0,171
21,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,0,0.999907692218236,inf,1.0,0.0,171
22,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,1,0.0,0.0,0.0,0.0,171
23,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,1,0.9998834644539932,inf,0.9998434503541936,0.0,171
24,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,2,0.0,0.0,0.0,0.0,171
25,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,2,0.9998822530657814,inf,0.9998434503541936,0.0,171
26,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,3,0.0,0.0,0.0,0.0,171
27,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,3,0.9996484551408408,inf,1.0,0.0,171
28,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,4,0.0,0.0,0.0,0.0,171
29,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,4,0.9997029676103866,inf,1.0,0.0,171
30,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,vehicle,best_individual_model,0,0.0,0.0,0.0,0.0,171
31,autosklearnBBCScoreEnsembleMAX_ES_es50_B100_N1.0,vehicle,best_ensemble_model,0,-0.3685601207794581,inf,-0.3181986132140537,0.0,171
