,tool,task,model,fold,train,val,test,overfit,seed
0,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,cnae-9,best_individual_model,0,0.0,0.0,0.0,0.0,181
1,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,0,-0.1252859350354024,inf,-0.12800773061794946,0.0,181
2,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,cnae-9,best_individual_model,1,0.0,0.0,0.0,0.0,181
3,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,1,-0.13636281225940514,inf,-0.2726769033524772,0.0,181
4,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,cnae-9,best_individual_model,2,0.0,0.0,0.0,0.0,181
5,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,2,-0.1579766090235765,inf,-0.13415066796661346,0.0,181
6,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,cnae-9,best_individual_model,3,0.0,0.0,0.0,0.0,181
7,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,3,-0.1669365708607192,inf,-0.16676063499394211,0.0,181
8,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,cnae-9,best_individual_model,4,0.0,0.0,0.0,0.0,181
9,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,4,-0.17990731851694436,inf,-0.14078655330056872,0.0,181
10,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,higgs,best_individual_model,0,0.0,0.0,0.0,0.0,181
11,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,higgs,best_ensemble_model,0,0.8082183701876695,inf,0.8163747862469739,0.0,181
12,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,higgs,best_individual_model,1,0.0,0.0,0.0,0.0,181
13,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,higgs,best_ensemble_model,1,0.8089830151224058,inf,0.8067495865194357,0.0,181
14,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,higgs,best_individual_model,2,0.0,0.0,0.0,0.0,181
15,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,higgs,best_ensemble_model,2,0.8075226632523067,inf,0.8134289746374933,0.0,181
16,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,higgs,best_individual_model,3,0.0,0.0,0.0,0.0,181
17,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,higgs,best_ensemble_model,3,0.8080599885208128,inf,0.8170456739834393,0.0,181
18,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,higgs,best_individual_model,4,0.0,0.0,0.0,0.0,181
19,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,higgs,best_ensemble_model,4,0.8076234904635226,inf,0.8187648173767835,0.0,181
20,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,0,0.0,0.0,0.0,0.0,181
21,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,0,0.9999428224763875,inf,0.9999608625885484,0.0,181
22,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,1,0.0,0.0,0.0,0.0,181
23,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,1,0.9998999393336784,inf,0.9999608625885484,0.0,181
24,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,2,0.0,0.0,0.0,0.0,181
25,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,2,0.999900908444248,inf,0.9999217251770968,0.0,181
26,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,3,0.0,0.0,0.0,0.0,181
27,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,3,0.9998725619600842,inf,1.0,0.0,181
28,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,4,0.0,0.0,0.0,0.0,181
29,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,4,0.9997809810112476,inf,1.0,0.0,181
30,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,vehicle,best_individual_model,0,0.0,0.0,0.0,0.0,181
31,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,vehicle,best_ensemble_model,0,-0.3361995950164072,inf,-0.3058915492993185,0.0,181
32,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,vehicle,best_individual_model,1,0.0,0.0,0.0,0.0,181
33,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,vehicle,best_ensemble_model,1,-0.3296716939021902,inf,-0.37281542411135227,0.0,181
34,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,vehicle,best_individual_model,2,0.0,0.0,0.0,0.0,181
35,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,vehicle,best_ensemble_model,2,-0.33541396140005153,inf,-0.3779742544980045,0.0,181
36,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,vehicle,best_individual_model,3,0.0,0.0,0.0,0.0,181
37,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,vehicle,best_ensemble_model,3,-0.30824186294563816,inf,-0.3248298566488705,0.0,181
38,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,vehicle,best_individual_model,4,0.0,0.0,0.0,0.0,181
39,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,vehicle,best_ensemble_model,4,-0.3387086158138208,inf,-0.33619303967946124,0.0,181
40,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,MiniBooNE,best_individual_model,0,0.0,0.0,0.0,0.0,181
41,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,MiniBooNE,best_ensemble_model,0,0.9851739213798534,inf,0.9837767783550808,0.0,181
42,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,MiniBooNE,best_individual_model,1,0.0,0.0,0.0,0.0,181
43,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,MiniBooNE,best_ensemble_model,1,0.9851063960847408,inf,0.9849083171195544,0.0,181
44,autosklearnBBCScoreEnsemble_ES_es50_B100_N1.0,MiniBooNE,best_individual_model,2,0.0,0.0,0.0,0.0,181
