,tool,task,model,fold,train,val,test,overfit,seed
0,bagging_es50_B100_N1.0,cnae-9,best_individual_model,0,0.0,0.0,0.0,0.0,191
1,bagging_es50_B100_N1.0,cnae-9,best_ensemble_model,0,-0.6650283337928643,inf,-0.6584906161484629,0.0,191
2,bagging_es50_B100_N1.0,cnae-9,best_individual_model,1,0.0,0.0,0.0,0.0,191
3,bagging_es50_B100_N1.0,cnae-9,best_ensemble_model,1,-0.5785379318366581,inf,-0.6456846978628046,0.0,191
4,bagging_es50_B100_N1.0,cnae-9,best_individual_model,2,0.0,0.0,0.0,0.0,191
5,bagging_es50_B100_N1.0,cnae-9,best_ensemble_model,2,-0.5303722282763319,inf,-0.5034259485608921,0.0,191
6,bagging_es50_B100_N1.0,cnae-9,best_individual_model,3,0.0,0.0,0.0,0.0,191
7,bagging_es50_B100_N1.0,cnae-9,best_ensemble_model,3,-0.7287607664156662,inf,-0.777951356545796,0.0,191
8,bagging_es50_B100_N1.0,cnae-9,best_individual_model,4,0.0,0.0,0.0,0.0,191
9,bagging_es50_B100_N1.0,cnae-9,best_ensemble_model,4,-0.6726005825464373,inf,-0.6801259684605286,0.0,191
10,bagging_es50_B100_N1.0,higgs,best_individual_model,0,0.0,0.0,0.0,0.0,191
11,bagging_es50_B100_N1.0,higgs,best_ensemble_model,0,0.7731532287655531,inf,0.7776271637967429,0.0,191
12,bagging_es50_B100_N1.0,higgs,best_individual_model,1,0.0,0.0,0.0,0.0,191
13,bagging_es50_B100_N1.0,higgs,best_ensemble_model,1,0.7748229572074672,inf,0.7716493213959734,0.0,191
14,bagging_es50_B100_N1.0,higgs,best_individual_model,2,0.0,0.0,0.0,0.0,191
15,bagging_es50_B100_N1.0,higgs,best_ensemble_model,2,0.7747502445331761,inf,0.7770171594329796,0.0,191
16,bagging_es50_B100_N1.0,higgs,best_individual_model,3,0.0,0.0,0.0,0.0,191
17,bagging_es50_B100_N1.0,higgs,best_ensemble_model,3,0.7764718802183411,inf,0.7826422683150229,0.0,191
18,bagging_es50_B100_N1.0,higgs,best_individual_model,4,0.0,0.0,0.0,0.0,191
19,bagging_es50_B100_N1.0,higgs,best_ensemble_model,4,0.7748275648256486,inf,0.7837810309692514,0.0,191
20,bagging_es50_B100_N1.0,kr-vs-kp,best_individual_model,0,0.0,0.0,0.0,0.0,191
21,bagging_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,0,0.999928285817842,inf,0.9999608625885484,0.0,191
22,bagging_es50_B100_N1.0,kr-vs-kp,best_individual_model,1,0.0,0.0,0.0,0.0,191
23,bagging_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,1,0.9998783766235024,inf,0.9999217251770968,0.0,191
