,tool,task,model,fold,train,val,test,overfit,seed
0,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,cnae-9,best_individual_model,0,0.0,0.0,0.0,0.0,231
1,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,0,-0.15905568054564104,inf,-0.1808451517353253,0.0,231
2,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,cnae-9,best_individual_model,1,0.0,0.0,0.0,0.0,231
3,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,1,-0.13610796667700892,inf,-0.27482376265314873,0.0,231
4,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,cnae-9,best_individual_model,2,0.0,0.0,0.0,0.0,231
5,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,2,-0.14510287885792195,inf,-0.12567308819591536,0.0,231
6,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,cnae-9,best_individual_model,3,0.0,0.0,0.0,0.0,231
7,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,3,-0.1184650967083938,inf,-0.11209697288903787,0.0,231
8,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,cnae-9,best_individual_model,4,0.0,0.0,0.0,0.0,231
9,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,4,-0.12092196906015755,inf,-0.10343910882169806,0.0,231
10,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,higgs,best_individual_model,0,0.0,0.0,0.0,0.0,231
11,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,higgs,best_ensemble_model,0,0.8082183701876695,inf,0.8163747862469739,0.0,231
12,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,higgs,best_individual_model,1,0.0,0.0,0.0,0.0,231
13,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,higgs,best_ensemble_model,1,0.8089830151224058,inf,0.8067495865194357,0.0,231
14,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,higgs,best_individual_model,2,0.0,0.0,0.0,0.0,231
15,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,higgs,best_ensemble_model,2,0.8075226632523067,inf,0.8134289746374933,0.0,231
16,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,higgs,best_individual_model,3,0.0,0.0,0.0,0.0,231
17,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,higgs,best_ensemble_model,3,0.8080603814735254,inf,0.8170480533628856,0.0,231
18,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,higgs,best_individual_model,4,0.0,0.0,0.0,0.0,231
19,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,higgs,best_ensemble_model,4,0.8076665895170366,inf,0.818330121449371,0.0,231
20,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,0,0.0,0.0,0.0,0.0,231
21,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,0,0.9999554209137936,inf,1.0,0.0,231
22,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,1,0.0,0.0,0.0,0.0,231
23,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,1,0.9999563900243634,inf,0.9997651755312904,0.0,231
24,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,2,0.0,0.0,0.0,0.0,231
25,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,2,0.9999086613288056,inf,0.9997260381198388,0.0,231
26,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,3,0.0,0.0,0.0,0.0,231
27,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,3,0.999808600662484,inf,1.0,0.0,231
28,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,4,0.0,0.0,0.0,0.0,231
29,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,kr-vs-kp,best_ensemble_model,4,0.9998706237389448,inf,1.0,0.0,231
30,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,vehicle,best_individual_model,0,0.0,0.0,0.0,0.0,231
31,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,vehicle,best_ensemble_model,0,-0.3484414277272784,inf,-0.31104856584587043,0.0,231
32,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,vehicle,best_individual_model,1,0.0,0.0,0.0,0.0,231
33,autosklearnBBCScoreEnsembleNOPREFILTER_ES_es50_B100_N1.0,vehicle,best_ensemble_model,1,-0.31377445682033284,inf,-0.34993693175636864,0.0,231
