,tool,task,model,fold,train,val,test,overfit,seed
0,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,cnae-9,best_individual_model,0,0.0,0.0,0.0,0.0,291
1,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,0,-0.12940062348498524,inf,-0.10360253131011332,0.0,291
2,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,cnae-9,best_individual_model,1,0.0,0.0,0.0,0.0,291
3,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,1,-0.14907371858155896,inf,-0.2609412179715327,0.0,291
4,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,cnae-9,best_individual_model,2,0.0,0.0,0.0,0.0,291
5,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,2,-0.16044256945509772,inf,-0.12380322310052312,0.0,291
6,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,cnae-9,best_individual_model,3,0.0,0.0,0.0,0.0,291
7,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,3,-0.14545262309330378,inf,-0.14615038248816095,0.0,291
8,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,cnae-9,best_individual_model,4,0.0,0.0,0.0,0.0,291
9,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,cnae-9,best_ensemble_model,4,-0.16052746530867618,inf,-0.13022097812478495,0.0,291
10,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,higgs,best_individual_model,0,0.0,0.0,0.0,0.0,291
11,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,higgs,best_ensemble_model,0,0.8082183701876695,inf,0.8163747862469739,0.0,291
12,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,higgs,best_individual_model,1,0.0,0.0,0.0,0.0,291
13,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,higgs,best_ensemble_model,1,0.8089827953259893,inf,0.806754073840687,0.0,291
14,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,higgs,best_individual_model,2,0.0,0.0,0.0,0.0,291
15,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,higgs,best_ensemble_model,2,0.8075221971189921,inf,0.8134486979797371,0.0,291
16,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,higgs,best_individual_model,3,0.0,0.0,0.0,0.0,291
17,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,higgs,best_ensemble_model,3,0.8080601536897891,inf,0.8170483455673789,0.0,291
18,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,higgs,best_individual_model,4,0.0,0.0,0.0,0.0,291
19,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,higgs,best_ensemble_model,4,0.8076233203987421,inf,0.8187670506539829,0.0,291
20,autosklearnBBCScoreEnsemblePercentile_ES_es50_B100_N1.0,kr-vs-kp,best_individual_model,0,0.0,0.0,0.0,0.0,291
