,tool,model,task,fold,index,overfit,test,train,val,seed
0,autosklearn,best_ensemble_model,Albert,0,0,0.0,0.6181450475025868,0.6120813693008218,inf,1
1,autosklearn,best_ensemble_model,Albert,1,1,0.0,0.6422020506067162,0.6355522110389951,inf,1
2,autosklearn,best_ensemble_model,Albert,2,2,0.0,0.6449377606371304,0.6365033079359107,inf,1
3,autosklearn,best_ensemble_model,Albert,3,3,0.0,0.5645988147869438,0.5660698794928877,inf,1
4,autosklearn,best_ensemble_model,Albert,4,4,0.0,0.6469993415483022,0.6389150179245184,inf,1
5,autosklearn,best_ensemble_model,Australian,0,5,0.0,0.8868138087153367,0.8857487922705314,inf,1
6,autosklearn,best_ensemble_model,Australian,1,6,0.0,0.836870401810979,0.8925120772946861,inf,1
7,autosklearn,best_ensemble_model,Australian,2,7,0.0,0.8531409168081495,0.8917874396135265,inf,1
8,autosklearn,best_ensemble_model,Australian,3,8,0.0,0.8604980192416525,0.8952898550724638,inf,1
9,autosklearn,best_ensemble_model,Australian,4,9,0.0,0.8936049801924165,0.9002415458937199,inf,1
10,autosklearn,best_ensemble_model,MiniBooNE,0,10,0.0,0.9384046520003336,0.9403382547932192,inf,1
11,autosklearn,best_ensemble_model,MiniBooNE,1,11,0.0,0.937133960217316,0.9403281235587362,inf,1
12,autosklearn,best_ensemble_model,MiniBooNE,2,12,0.0,0.9390119184084584,0.9403239300023835,inf,1
13,autosklearn,best_ensemble_model,MiniBooNE,3,13,0.0,0.9438025886414244,0.9400637561628141,inf,1
14,autosklearn,best_ensemble_model,MiniBooNE,4,14,0.0,0.9408531174410454,0.9398391624884207,inf,1
15,autosklearn,best_ensemble_model,adult,0,15,0.0,0.8496563308873565,0.8446588831373741,inf,1
16,autosklearn,best_ensemble_model,adult,1,16,0.0,0.836330261206021,0.8462172787335452,inf,1
17,autosklearn,best_ensemble_model,adult,2,17,0.0,0.8498205649026055,0.8455448817798011,inf,1
18,autosklearn,best_ensemble_model,adult,3,18,0.0,0.845514859843402,0.8460949751356837,inf,1
19,autosklearn,best_ensemble_model,adult,4,19,0.0,0.8366229767855651,0.8466293354960678,inf,1
20,autosklearn,best_ensemble_model,cnae-9,0,20,0.0,0.9629629629629629,0.9657064471879288,inf,1
21,autosklearn,best_ensemble_model,cnae-9,1,21,0.0,0.9135802469135802,0.9705075445816188,inf,1
22,autosklearn,best_ensemble_model,cnae-9,2,22,0.0,0.9629629629629629,0.9681069958847736,inf,1
23,autosklearn,best_ensemble_model,cnae-9,3,23,0.0,0.9320987654320988,0.9639917695473251,inf,1
24,autosklearn,best_ensemble_model,cnae-9,4,24,0.0,0.9691358024691358,0.9657064471879289,inf,1
25,autosklearn,best_ensemble_model,connect-4,0,25,0.0,0.7429618287078933,0.7469765394156865,inf,1
26,autosklearn,best_ensemble_model,connect-4,1,26,0.0,0.7592758105532244,0.7470883716241016,inf,1
27,autosklearn,best_ensemble_model,connect-4,2,27,0.0,0.7643646031447089,0.7457377388822243,inf,1
28,autosklearn,best_ensemble_model,connect-4,3,28,0.0,0.759593547258515,0.7493890395092451,inf,1
29,autosklearn,best_ensemble_model,connect-4,4,29,0.0,0.7642407070121845,0.7447197295602782,inf,1
30,autosklearn,best_ensemble_model,higgs,0,30,0.0,0.7372633543306574,0.7274388898966828,inf,1
31,autosklearn,best_ensemble_model,higgs,1,31,0.0,0.7213806790389836,0.7279586143704083,inf,1
32,autosklearn,best_ensemble_model,higgs,2,32,0.0,0.7315863294238122,0.7256180376328571,inf,1
33,autosklearn,best_ensemble_model,higgs,3,33,0.0,0.7311789833504384,0.7259197407901062,inf,1
34,autosklearn,best_ensemble_model,higgs,4,34,0.0,0.7362338288815421,0.7261809069544851,inf,1
35,autosklearn,best_ensemble_model,kr-vs-kp,0,35,0.0,0.9924660482955657,0.9981212176422055,inf,1
36,autosklearn,best_ensemble_model,kr-vs-kp,1,36,0.0,0.9850299401197603,0.9982425179818466,inf,1
37,autosklearn,best_ensemble_model,kr-vs-kp,2,37,0.0,0.9967320261437908,0.9969599001428469,inf,1
38,autosklearn,best_ensemble_model,kr-vs-kp,3,38,0.0,1.0,0.9970708633030778,inf,1
