JobID|JobName|MaxRSS|Elapsed|MaxDiskRead|MaxDiskWrite|MaxRSS|MaxVMSize|MinCPU|TotalCPU
4687829|autosklearn_master_thesis_3600s1c6G_cnae-9_0||01:00:36||||||01:17:12
4687829.batch|batch|3330020K|01:00:36|2881.20M|1808.04M|3330020K|8348816K|00:28:29|01:17:12
4687830|autosklearn_master_thesis_3600s1c6G_cnae-9_1||01:00:56||||||01:20:00
4687830.batch|batch|3440292K|01:00:56|2706.84M|1354.65M|3440292K|8727488K|00:25:01|01:20:00
4687831|autosklearn_master_thesis_3600s1c6G_cnae-9_2||01:00:28||||||01:15:54
4687831.batch|batch|3346644K|01:00:28|2862.98M|1871.13M|3346644K|8451728K|00:23:59|01:15:54
4687832|autosklearn_master_thesis_3600s1c6G_cnae-9_3||01:00:26||||||01:23:59
4687832.batch|batch|2947152K|01:00:26|2335.67M|1436.45M|2947152K|8008208K|00:24:51|01:23:59
4687833|autosklearn_master_thesis_3600s1c6G_cnae-9_4||01:00:19||||||01:21:49
4687833.batch|batch|3275532K|01:00:19|3107.69M|1428.92M|3275532K|8619532K|00:33:48|01:21:49
4687834|autosklearn_master_thesis_3600s1c6G_higgs_0||01:01:21||||||01:06:43
4687834.batch|batch|3901392K|01:01:21|2055.58M|1623.06M|3901392K|8933052K|00:08:39|01:06:43
4687835|autosklearn_master_thesis_3600s1c6G_higgs_1||01:01:32||||||01:06:25
4687835.batch|batch|3910520K|01:01:32|2391.60M|1622.95M|3910520K|9153144K|00:08:37|01:06:25
4687836|autosklearn_master_thesis_3600s1c6G_higgs_2||01:01:27||||||01:06:52
4687836.batch|batch|3910564K|01:01:27|2388.05M|1621.91M|3910564K|8931492K|00:08:42|01:06:52
4687837|autosklearn_master_thesis_3600s1c6G_higgs_3||01:01:13||||||01:06:39
4687837.batch|batch|3910916K|01:01:13|1968.14M|1622.56M|3910916K|8933620K|00:08:37|01:06:39
4687838|autosklearn_master_thesis_3600s1c6G_higgs_4||01:01:25||||||01:06:49
4687838.batch|batch|3893176K|01:01:25|2390.00M|1623.62M|3893176K|8934704K|00:08:38|01:06:49
4687839|autosklearn_master_thesis_3600s1c6G_kr-vs-kp_0||01:00:09||||||01:18:13
4687839.batch|batch|4243836K|01:00:09|421.08M|710.86M|4243836K|9330196K|00:32:40|01:18:13
4687840|autosklearn_master_thesis_3600s1c6G_kr-vs-kp_1||01:00:29||||||01:06:34
4687840.batch|batch|3427752K|01:00:29|176.65M|298.00M|3427752K|9231268K|00:13:32|01:06:34
4687841|autosklearn_master_thesis_3600s1c6G_kr-vs-kp_2||01:00:16||||||01:13:13
4687841.batch|batch|3668468K|01:00:16|274.75M|543.36M|3668468K|9048912K|00:19:09|01:13:13
4687842|autosklearn_master_thesis_3600s1c6G_kr-vs-kp_3||01:00:40||||||01:06:46
4687842.batch|batch|2949180K|01:00:40|221.41M|257.91M|2949180K|7987204K|00:14:00|01:06:46
4687843|autosklearn_master_thesis_3600s1c6G_kr-vs-kp_4||01:00:29||||||01:05:52
4687843.batch|batch|2420288K|01:00:29|167.67M|213.48M|2420288K|7436928K|00:10:22|01:05:52
4687844|autosklearn_master_thesis_3600s1c6G_vehicle_0||01:00:10||||||01:13:16
4687844.batch|batch|917328K|01:00:10|419.32M|963.12M|917328K|6055276K|00:58:20|01:13:16
4687845|autosklearn_master_thesis_3600s1c6G_vehicle_1||01:00:06||||||01:04:19
4687845.batch|batch|918712K|01:00:06|380.31M|1063.62M|918712K|6046028K|00:46:30|01:04:19
4687846|autosklearn_master_thesis_3600s1c6G_vehicle_2||01:00:08||||||01:10:58
4687846.batch|batch|3682912K|01:00:08|331.40M|1098.36M|3682912K|8716184K|00:45:03|01:10:58
4687847|autosklearn_master_thesis_3600s1c6G_vehicle_3||01:00:08||||||01:09:47
4687847.batch|batch|1003596K|01:00:08|373.45M|939.25M|1003596K|6062348K|00:47:35|01:09:47
4687848|autosklearn_master_thesis_3600s1c6G_vehicle_4||01:00:05||||||01:07:37
4687848.batch|batch|2379416K|01:00:05|318.57M|1775.40M|2379416K|7413984K|00:36:16|01:07:37
4687849|autosklearn_master_thesis_3600s1c6G_MiniBooNE_0||01:00:24||||||01:02:30
4687849.batch|batch|4686604K|01:00:24|1520.35M|326.41M|4686604K|9870728K|00:07:49|01:02:30
4687850|autosklearn_master_thesis_3600s1c6G_MiniBooNE_1||01:00:37||||||01:03:16
4687850.batch|batch|4452600K|01:00:37|1577.03M|331.63M|4452600K|9498296K|00:08:20|01:03:16
4687851|autosklearn_master_thesis_3600s1c6G_MiniBooNE_2||01:00:40||||||01:03:03
4687851.batch|batch|4445720K|01:00:40|1686.39M|327.30M|4445720K|9490112K|00:08:06|01:03:03
4687852|autosklearn_master_thesis_3600s1c6G_MiniBooNE_3||01:00:42||||||01:03:00
4687852.batch|batch|4554024K|01:00:42|1687.68M|327.42M|4554024K|9592432K|00:07:58|01:03:00
4687853|autosklearn_master_thesis_3600s1c6G_MiniBooNE_4||01:00:27||||||01:02:40
4687853.batch|batch|4438880K|01:00:27|1469.80M|328.12M|4438880K|9484820K|00:07:59|01:02:40
4687854|autosklearn_master_thesis_3600s1c6G_connect-4_0||01:00:35||||||01:14:21
4687854.batch|batch|4177088K|01:00:35|1448.01M|2018.60M|4177088K|9261768K|00:15:32|01:14:21
4687855|autosklearn_master_thesis_3600s1c6G_connect-4_1||01:00:17||||||01:17:22
4687855.batch|batch|4181836K|01:00:17|1514.05M|1892.84M|4181836K|9257456K|00:18:02|01:17:22
4687856|autosklearn_master_thesis_3600s1c6G_connect-4_2||01:00:24||||||01:15:02
4687856.batch|batch|4361404K|01:00:24|1331.13M|2562.08M|4361404K|9427744K|00:14:48|01:15:02
4687857|autosklearn_master_thesis_3600s1c6G_connect-4_3||01:00:26||||||01:13:31
4687857.batch|batch|4366668K|01:00:26|1288.51M|2117.88M|4366668K|9581460K|00:14:05|01:13:31
4687858|autosklearn_master_thesis_3600s1c6G_connect-4_4||01:00:34||||||01:18:32
4687858.batch|batch|4237992K|01:00:34|1519.97M|2067.72M|4237992K|9307124K|00:18:49|01:18:32
4687859|autosklearn_master_thesis_3600s1c6G_segment_0||01:00:19||||||01:13:21
4687859.batch|batch|3972928K|01:00:19|276.26M|880.10M|3972928K|9004580K|00:31:23|01:13:21
4687860|autosklearn_master_thesis_3600s1c6G_segment_1||01:00:13||||||01:14:33
4687860.batch|batch|4117048K|01:00:13|316.07M|914.16M|4117048K|9158840K|00:31:38|01:14:33
4687861|autosklearn_master_thesis_3600s1c6G_segment_2||01:00:13||||||01:12:28
4687861.batch|batch|3816588K|01:00:13|308.27M|967.15M|3816588K|8853964K|00:27:07|01:12:28
4687862|autosklearn_master_thesis_3600s1c6G_segment_3||01:00:12||||||01:17:54
4687862.batch|batch|3950176K|01:00:12|374.52M|1057.96M|3950176K|8991856K|00:44:17|01:17:54
4687863|autosklearn_master_thesis_3600s1c6G_segment_4||01:00:16||||||01:18:32
4687863.batch|batch|1093272K|01:00:16|556.94M|1282.80M|1093272K|6184912K|00:48:22|01:18:32
4687864|autosklearn_master_thesis_3600s1c6G_Australian_0||01:00:10||||||01:09:06
