,tool,task,model,fold,train,val,test,overfit
0,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,cnae-9,best_individual_model,0,1.0,0.9249117176071908,0.9537037037037036,0.00925925925925919
1,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,cnae-9,best_ensemble_model,0,0.9588477366255144,inf,0.9629629629629628,0.0
2,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,cnae-9,best_individual_model,1,1.0,0.9312374677601016,0.8888888888888888,0.009259259259259078
3,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,cnae-9,best_ensemble_model,1,0.9629629629629628,inf,0.9074074074074072,0.0
4,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,cnae-9,best_individual_model,2,1.0,0.924970852954392,0.9537037037037036,0.00925925925925919
5,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,cnae-9,best_ensemble_model,2,0.9609053497942386,inf,0.9537037037037036,0.0
6,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,cnae-9,best_individual_model,3,1.0,0.9258927705429764,0.8796296296296297,0.06481481481481477
7,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,cnae-9,best_ensemble_model,3,0.955761316872428,inf,0.9074074074074072,0.0
8,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,cnae-9,best_individual_model,4,1.0,0.9206873754198858,0.9444444444444444,0.00925925925925919
9,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,cnae-9,best_ensemble_model,4,0.9495884773662552,inf,0.9444444444444444,0.0
10,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,higgs,best_individual_model,0,0.8525816834859454,0.7259932427418224,0.7371892613518582,0.002952970452221093
11,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,higgs,best_ensemble_model,0,0.7325149270884009,inf,0.739414784851104,0.0
12,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,higgs,best_individual_model,1,0.8524548261031564,0.7268683004609283,0.7207106280555005,0.003943395301778896
13,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,higgs,best_ensemble_model,1,0.7329902207343519,inf,0.7235989602104425,0.0
14,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,higgs,best_individual_model,2,0.8514464166355741,0.7268388083169108,0.7357271251181209,0.001707143974053582
15,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,higgs,best_ensemble_model,2,0.7316373132374647,inf,0.7352711715364746,0.0
16,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,higgs,best_individual_model,3,0.8526329112297241,0.7265122420905773,0.7334423367409665,0.0030814216132643013
17,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,higgs,best_ensemble_model,3,0.7316966450368385,inf,0.7351408588457773,0.0
18,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,higgs,best_individual_model,4,0.8529094808186268,0.7251774938145568,0.7374098058651787,0.0
19,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,higgs,best_ensemble_model,4,0.7311463726106848,inf,0.7361495905004486,0.0
20,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,kr-vs-kp,best_individual_model,0,1.0,0.9971795125298444,0.9937380141677429,0.0029940119760478723
21,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,kr-vs-kp,best_ensemble_model,0,0.9978786169629238,inf,0.9967320261437908,0.0
22,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,kr-vs-kp,best_individual_model,1,1.0,0.996090619239654,0.9910179640718564,0.0
23,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,kr-vs-kp,best_ensemble_model,1,0.9978786169629238,inf,0.9850299401197604,0.0
24,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,kr-vs-kp,best_individual_model,2,1.0,0.9956954978302444,0.9967320261437908,0.0
25,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,kr-vs-kp,best_ensemble_model,2,0.9971198033868476,inf,0.9967320261437908,0.0
26,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,kr-vs-kp,best_individual_model,3,1.0,0.9971182953511031,0.997005988023952,0.0029940119760479833
27,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,kr-vs-kp,best_ensemble_model,3,0.9981804949053856,inf,1.0,0.0
28,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,kr-vs-kp,best_individual_model,4,1.0,0.9964825655289216,1.0,0.0
29,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,kr-vs-kp,best_ensemble_model,4,0.997514715944001,inf,1.0,0.0
30,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,vehicle,best_individual_model,0,0.9497541446619759,0.8518385546356879,0.8705627705627705,0.023809523809523836
31,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,vehicle,best_ensemble_model,0,0.8755589892468191,inf,0.8825216450216451,0.0
