,tool,task,model,fold,train,val,test,overfit
0,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,cnae-9,best_individual_model,0,0.9915147176268312,0.9468415841301072,0.9629629629629628,0.0185185185185186
1,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,cnae-9,best_ensemble_model,0,0.9609053497942388,inf,0.9629629629629628,0.0
2,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,cnae-9,best_individual_model,1,0.9822386331982612,0.9515782951996944,0.9259259259259258,0.0
3,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,cnae-9,best_ensemble_model,1,0.9639917695473249,inf,0.8888888888888888,0.0
4,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,cnae-9,best_individual_model,2,0.9927954815990628,0.9454843028231232,0.9629629629629628,0.009259259259259411
5,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,cnae-9,best_ensemble_model,2,0.9598765432098766,inf,0.9629629629629628,0.0
6,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,cnae-9,best_individual_model,3,0.9922836947066498,0.9455395927232348,0.9259259259259258,0.0185185185185186
7,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,cnae-9,best_ensemble_model,3,0.9557613168724282,inf,0.9074074074074072,0.0
8,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,cnae-9,best_individual_model,4,0.9799379545813168,0.9428153769717555,0.9629629629629628,0.009259259259259411
9,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,cnae-9,best_ensemble_model,4,0.9557613168724282,inf,0.9722222222222222,0.0
10,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,higgs,best_individual_model,0,0.8523640483150143,0.7259090862240984,0.7390956841319889,0.0
11,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,higgs,best_ensemble_model,0,0.7274388898966828,inf,0.7372633543306575,0.0
12,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,higgs,best_individual_model,1,0.8524548261031564,0.7268683004609283,0.7207106280555005,0.0
13,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,higgs,best_ensemble_model,1,0.7279586143704082,inf,0.7213806790389836,0.0
14,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,higgs,best_individual_model,2,0.8518741103785137,0.7238327444610273,0.7327423051206472,0.0
15,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,higgs,best_ensemble_model,2,0.7256180376328571,inf,0.7315863294238121,0.0
16,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,higgs,best_individual_model,3,0.853041466374295,0.7241255898321797,0.7333018281231463,0.0
17,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,higgs,best_ensemble_model,3,0.7259197407901062,inf,0.7311789833504384,0.0
18,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,higgs,best_individual_model,4,0.8504058403856884,0.7245485312194466,0.7366759760235359,0.0
19,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,higgs,best_ensemble_model,4,0.7261809069544851,inf,0.7362338288815422,0.0
20,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,kr-vs-kp,best_individual_model,0,1.0,0.9962194910902726,0.9967320261437908,0.0
21,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,kr-vs-kp,best_ensemble_model,0,0.997514715944001,inf,0.9967320261437908,0.0
22,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,kr-vs-kp,best_individual_model,1,1.0,0.996090619239654,0.9910179640718564,0.0
23,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,kr-vs-kp,best_ensemble_model,1,0.9975457274822314,inf,0.9820359281437124,0.0
24,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,kr-vs-kp,best_individual_model,2,1.0,0.9953923087793196,0.9967320261437908,0.0
25,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,kr-vs-kp,best_ensemble_model,2,0.9961211349447704,inf,0.9967320261437908,0.0
26,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,kr-vs-kp,best_individual_model,3,1.0,0.9958843421839904,0.997005988023952,0.0
27,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,kr-vs-kp,best_ensemble_model,3,0.9968179254443856,inf,1.0,0.0
28,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,kr-vs-kp,best_individual_model,4,1.0,0.9957569346528894,1.0,0.0
29,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,kr-vs-kp,best_ensemble_model,4,0.9967869139061551,inf,1.0,0.0
30,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,vehicle,best_individual_model,0,0.9704020521810228,0.8347176257340343,0.8706168831168832,0.04767316017315992
31,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,vehicle,best_ensemble_model,0,0.85329393947172,inf,0.8592532467532468,0.0
32,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,vehicle,best_individual_model,3,0.9634197751230588,0.8242265594513762,0.8257575757575757,0.00909090909090915
33,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,vehicle,best_ensemble_model,3,0.8636839372170388,inf,0.8019480519480521,0.0
34,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,MiniBooNE,best_individual_model,0,0.951155639535824,0.9398874938571722,0.937920785991295,0.0
35,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,MiniBooNE,best_ensemble_model,0,0.9403382547932191,inf,0.9384046520003336,0.0
36,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,MiniBooNE,best_individual_model,1,0.9513411347313304,0.9396978621995868,0.9374516331630705,0.0
37,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,MiniBooNE,best_ensemble_model,1,0.9403281235587362,inf,0.937133960217316,0.0
38,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,MiniBooNE,best_individual_model,2,0.9509944387452616,0.9396455334197268,0.9377799493749459,0.0
39,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,MiniBooNE,best_ensemble_model,2,0.9403239300023836,inf,0.9390119184084584,0.0
40,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,MiniBooNE,best_individual_model,3,0.9508995458704064,0.9393656121465808,0.9434790304233444,0.0
41,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,MiniBooNE,best_ensemble_model,3,0.9400637561628142,inf,0.9438025886414244,0.0
42,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,MiniBooNE,best_individual_model,4,0.950800672736012,0.9393578920520976,0.940906553371365,0.0
43,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,MiniBooNE,best_ensemble_model,4,0.9398391624884209,inf,0.9408531174410454,0.0
44,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,connect-4,best_individual_model,0,0.9410105935412464,0.7407953405406944,0.7567148890349467,0.0
45,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,connect-4,best_ensemble_model,0,0.7469765394156865,inf,0.7429618287078933,0.0
