,tool,task,model,fold,train,val,test,overfit
0,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,cnae-9,best_ensemble_model,0,,,0.9629629999999999,
1,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,cnae-9,best_ensemble_model,1,,,0.916667,
2,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,cnae-9,best_ensemble_model,2,,,0.9537040000000001,
3,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,cnae-9,best_ensemble_model,3,,,0.9444440000000001,
4,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,cnae-9,best_ensemble_model,4,,,0.9444440000000001,
5,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,higgs,best_ensemble_model,0,,,0.735638,
6,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,higgs,best_ensemble_model,1,,,0.721588,
7,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,higgs,best_ensemble_model,2,,,0.730212,
8,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,higgs,best_ensemble_model,3,,,0.731179,
9,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,higgs,best_ensemble_model,4,,,0.735246,
10,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,kr-vs-kp,best_ensemble_model,0,,,0.996732,
