,tool,task,model,fold,train,val,test,overfit
0,AutoGluon,cnae-9,best_ensemble_model,0,,,0.9722219999999999,
1,AutoGluon,cnae-9,best_ensemble_model,1,,,0.907407,
2,AutoGluon,cnae-9,best_ensemble_model,2,,,0.9722219999999999,
3,AutoGluon,cnae-9,best_ensemble_model,3,,,0.898148,
4,AutoGluon,cnae-9,best_ensemble_model,4,,,0.9537040000000001,
5,AutoGluon,higgs,best_ensemble_model,0,,,0.730796,
6,AutoGluon,higgs,best_ensemble_model,1,,,0.721626,
7,AutoGluon,higgs,best_ensemble_model,2,,,0.729147,
8,AutoGluon,higgs,best_ensemble_model,3,,,0.728592,
9,AutoGluon,higgs,best_ensemble_model,4,,,0.7292420000000001,
10,AutoGluon,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,
11,AutoGluon,kr-vs-kp,best_ensemble_model,1,,,0.98503,
12,AutoGluon,kr-vs-kp,best_ensemble_model,2,,,0.996732,
13,AutoGluon,kr-vs-kp,best_ensemble_model,3,,,1.0,
14,AutoGluon,kr-vs-kp,best_ensemble_model,4,,,1.0,
15,AutoGluon,vehicle,best_ensemble_model,0,,,0.858712,
16,AutoGluon,vehicle,best_ensemble_model,1,,,0.814394,
17,AutoGluon,vehicle,best_ensemble_model,2,,,0.848485,
18,AutoGluon,vehicle,best_ensemble_model,3,,,0.847944,
19,AutoGluon,vehicle,best_ensemble_model,4,,,0.825758,
20,AutoGluon,MiniBooNE,best_ensemble_model,0,,,0.931232,
21,AutoGluon,MiniBooNE,best_ensemble_model,1,,,0.92904,
22,AutoGluon,MiniBooNE,best_ensemble_model,2,,,0.928723,
23,AutoGluon,MiniBooNE,best_ensemble_model,3,,,0.9370219999999999,
24,AutoGluon,MiniBooNE,best_ensemble_model,4,,,0.93473,
25,AutoGluon,connect-4,best_ensemble_model,0,,,0.760065,
26,AutoGluon,connect-4,best_ensemble_model,1,,,0.752456,
27,AutoGluon,connect-4,best_ensemble_model,2,,,0.773633,
28,AutoGluon,connect-4,best_ensemble_model,3,,,0.758897,
29,AutoGluon,connect-4,best_ensemble_model,4,,,0.765652,
30,AutoGluon,segment,best_ensemble_model,0,,,0.9913420000000001,
31,AutoGluon,segment,best_ensemble_model,1,,,0.9870129999999999,
32,AutoGluon,segment,best_ensemble_model,2,,,0.9870129999999999,
33,AutoGluon,segment,best_ensemble_model,3,,,0.9956709999999999,
34,AutoGluon,segment,best_ensemble_model,4,,,1.0,
35,AutoGluon,Australian,best_ensemble_model,0,,,0.8726659999999999,
36,AutoGluon,Australian,best_ensemble_model,1,,,0.8314940000000001,
37,AutoGluon,Australian,best_ensemble_model,2,,,0.8696940000000001,
38,AutoGluon,Australian,best_ensemble_model,3,,,0.840407,
39,AutoGluon,Australian,best_ensemble_model,4,,,0.8989809999999999,
40,AutoGluon,adult,best_ensemble_model,0,,,0.8120430000000001,
41,AutoGluon,adult,best_ensemble_model,1,,,0.816685,
42,AutoGluon,adult,best_ensemble_model,2,,,0.8111510000000001,
43,AutoGluon,adult,best_ensemble_model,3,,,0.808509,
44,AutoGluon,adult,best_ensemble_model,4,,,0.8090970000000001,
45,AutoGluon,Albert,best_ensemble_model,0,,,0.686742,
46,AutoGluon,Albert,best_ensemble_model,1,,,0.686224,
47,AutoGluon,Albert,best_ensemble_model,2,,,0.690434,
48,AutoGluon,Albert,best_ensemble_model,3,,,0.687447,
49,AutoGluon,Albert,best_ensemble_model,4,,,0.0,
