,tool,task,model,fold,train,val,test,overfit
0,autosklearn,cnae-9,best_ensemble_model,0,,,0.9629629999999999,
1,autosklearn,cnae-9,best_ensemble_model,1,,,0.916667,
2,autosklearn,cnae-9,best_ensemble_model,2,,,0.9629629999999999,
3,autosklearn,cnae-9,best_ensemble_model,3,,,0.916667,
4,autosklearn,cnae-9,best_ensemble_model,4,,,0.9722219999999999,
5,autosklearn,higgs,best_ensemble_model,0,,,0.735638,
6,autosklearn,higgs,best_ensemble_model,1,,,0.721588,
7,autosklearn,higgs,best_ensemble_model,2,,,0.730212,
8,autosklearn,higgs,best_ensemble_model,3,,,0.731179,
9,autosklearn,higgs,best_ensemble_model,4,,,0.735246,
10,autosklearn,kr-vs-kp,best_ensemble_model,0,,,0.996732,
11,autosklearn,kr-vs-kp,best_ensemble_model,1,,,0.988024,
12,autosklearn,kr-vs-kp,best_ensemble_model,2,,,0.996732,
13,autosklearn,kr-vs-kp,best_ensemble_model,3,,,1.0,
14,autosklearn,kr-vs-kp,best_ensemble_model,4,,,1.0,
15,autosklearn,vehicle,best_ensemble_model,0,,,0.859253,
16,autosklearn,vehicle,best_ensemble_model,1,,,0.814394,
17,autosklearn,vehicle,best_ensemble_model,2,,,0.77868,
18,autosklearn,vehicle,best_ensemble_model,3,,,0.8371209999999999,
19,autosklearn,vehicle,best_ensemble_model,4,,,0.8739180000000001,
20,autosklearn,MiniBooNE,best_ensemble_model,0,,,0.9384049999999999,
21,autosklearn,MiniBooNE,best_ensemble_model,1,,,0.937134,
22,autosklearn,MiniBooNE,best_ensemble_model,2,,,0.9390120000000001,
23,autosklearn,MiniBooNE,best_ensemble_model,3,,,0.9438030000000001,
24,autosklearn,MiniBooNE,best_ensemble_model,4,,,0.940853,
25,autosklearn,connect-4,best_ensemble_model,0,,,0.742962,
26,autosklearn,connect-4,best_ensemble_model,1,,,0.751987,
27,autosklearn,connect-4,best_ensemble_model,2,,,0.765966,
28,autosklearn,connect-4,best_ensemble_model,3,,,0.7525729999999999,
29,autosklearn,connect-4,best_ensemble_model,4,,,0.764241,
30,autosklearn,segment,best_ensemble_model,0,,,0.9913420000000001,
31,autosklearn,segment,best_ensemble_model,1,,,0.9696969999999999,
32,autosklearn,segment,best_ensemble_model,2,,,0.9870129999999999,
33,autosklearn,segment,best_ensemble_model,3,,,0.9956709999999999,
34,autosklearn,segment,best_ensemble_model,4,,,1.0,
35,autosklearn,Australian,best_ensemble_model,0,,,0.8858229999999999,
36,autosklearn,Australian,best_ensemble_model,1,,,0.8446520000000001,
37,autosklearn,Australian,best_ensemble_model,2,,,0.820034,
38,autosklearn,Australian,best_ensemble_model,3,,,0.8624790000000001,
39,autosklearn,Australian,best_ensemble_model,4,,,0.8989809999999999,
40,autosklearn,adult,best_ensemble_model,0,,,0.849656,
41,autosklearn,adult,best_ensemble_model,1,,,0.836465,
42,autosklearn,adult,best_ensemble_model,2,,,0.850224,
43,autosklearn,adult,best_ensemble_model,3,,,0.843558,
44,autosklearn,adult,best_ensemble_model,4,,,0.836391,
45,autosklearn,Albert,best_ensemble_model,0,,,0.566692,
46,autosklearn,Albert,best_ensemble_model,1,,,0.642202,
47,autosklearn,Albert,best_ensemble_model,2,,,0.6447890000000001,
48,autosklearn,Albert,best_ensemble_model,3,,,0.564599,
49,autosklearn,Albert,best_ensemble_model,4,,,0.646999,
