,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_iterativecv,Airlines,best_ensemble_model,0,,,0.663792,,3600s8c32G
1,autosklearn_iterativecv,Airlines,best_ensemble_model,1,,,0.665568,,3600s8c32G
2,autosklearn_iterativecv,Airlines,best_ensemble_model,2,,,0.665081,,3600s8c32G
3,autosklearn_iterativecv,Airlines,best_ensemble_model,3,,,0.665853,,3600s8c32G
4,autosklearn_iterativecv,Airlines,best_ensemble_model,4,,,0.662089,,3600s8c32G
5,autosklearn_iterativecv,Albert,best_ensemble_model,0,,,0.6862010000000001,,3600s8c32G
6,autosklearn_iterativecv,Albert,best_ensemble_model,1,,,0.692738,,3600s8c32G
7,autosklearn_iterativecv,Albert,best_ensemble_model,2,,,0.690716,,3600s8c32G
8,autosklearn_iterativecv,Albert,best_ensemble_model,3,,,0.689611,,3600s8c32G
9,autosklearn_iterativecv,Albert,best_ensemble_model,4,,,0.688858,,3600s8c32G
10,autosklearn_iterativecv,Covertype,best_ensemble_model,0,,,0.96024,,3600s8c32G
11,autosklearn_iterativecv,Covertype,best_ensemble_model,1,,,0.9633120000000001,,3600s8c32G
12,autosklearn_iterativecv,Covertype,best_ensemble_model,2,,,0.958383,,3600s8c32G
13,autosklearn_iterativecv,Covertype,best_ensemble_model,3,,,0.959684,,3600s8c32G
14,autosklearn_iterativecv,Covertype,best_ensemble_model,4,,,0.961565,,3600s8c32G
15,autosklearn_iterativecv,Dionis,best_ensemble_model,0,,,0.879066,,3600s8c32G
16,autosklearn_iterativecv,Dionis,best_ensemble_model,1,,,0.8731129999999999,,3600s8c32G
17,autosklearn_iterativecv,Dionis,best_ensemble_model,2,,,0.882584,,3600s8c32G
18,autosklearn_iterativecv,Dionis,best_ensemble_model,3,,,0.8818290000000001,,3600s8c32G
19,autosklearn_iterativecv,Dionis,best_ensemble_model,4,,,0.8511989999999999,,3600s8c32G
