,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_iterativecv,Airlines,best_ensemble_model,0,,,0.666297,,3600s8c32G
1,autosklearnEnsembleIntensification_iterativecv,Airlines,best_ensemble_model,1,,,0.668658,,3600s8c32G
2,autosklearnEnsembleIntensification_iterativecv,Airlines,best_ensemble_model,2,,,0.668323,,3600s8c32G
3,autosklearnEnsembleIntensification_iterativecv,Airlines,best_ensemble_model,3,,,0.669678,,3600s8c32G
4,autosklearnEnsembleIntensification_iterativecv,Airlines,best_ensemble_model,4,,,0.663387,,3600s8c32G
5,autosklearnEnsembleIntensification_iterativecv,Albert,best_ensemble_model,0,,,0.689752,,3600s8c32G
6,autosklearnEnsembleIntensification_iterativecv,Albert,best_ensemble_model,1,,,0.690481,,3600s8c32G
7,autosklearnEnsembleIntensification_iterativecv,Albert,best_ensemble_model,2,,,0.693891,,3600s8c32G
8,autosklearnEnsembleIntensification_iterativecv,Albert,best_ensemble_model,3,,,0.689846,,3600s8c32G
9,autosklearnEnsembleIntensification_iterativecv,Albert,best_ensemble_model,4,,,0.6921970000000001,,3600s8c32G
10,autosklearnEnsembleIntensification_iterativecv,Covertype,best_ensemble_model,0,,,0.9572430000000001,,3600s8c32G
11,autosklearnEnsembleIntensification_iterativecv,Covertype,best_ensemble_model,1,,,0.9668190000000001,,3600s8c32G
12,autosklearnEnsembleIntensification_iterativecv,Covertype,best_ensemble_model,2,,,0.954225,,3600s8c32G
13,autosklearnEnsembleIntensification_iterativecv,Covertype,best_ensemble_model,3,,,0.959946,,3600s8c32G
14,autosklearnEnsembleIntensification_iterativecv,Covertype,best_ensemble_model,4,,,0.957268,,3600s8c32G
15,autosklearnEnsembleIntensification_iterativecv,Dionis,best_ensemble_model,0,,,0.87435,,3600s8c32G
16,autosklearnEnsembleIntensification_iterativecv,Dionis,best_ensemble_model,1,,,0.874123,,3600s8c32G
17,autosklearnEnsembleIntensification_iterativecv,Dionis,best_ensemble_model,2,,,0.882584,,3600s8c32G
18,autosklearnEnsembleIntensification_iterativecv,Dionis,best_ensemble_model,3,,,0.8818290000000001,,3600s8c32G
19,autosklearnEnsembleIntensification_iterativecv,Dionis,best_ensemble_model,4,,,0.8717889999999999,,3600s8c32G
